구분,질문,답변
송파구 방이동 월세,송파구 방이동에 아파트 월세 보여주세요.,송파구 방이동에 있는 1988년에 지어진 올림픽선수기자촌3단지 아파트은/는 2.0층 83.06m²(임대면적) 기준으로 보증금 68250만원 임대료는 30만원에 월세로 거래되었습니다.
강남구 개포동 전세,강남구 개포동에 아파트 전세 보여주세요.,강남구 개포동에 있는 1983년에 지어진 개포주공7단지 아파트은/는 13.0층 83.7m²(임대면적) 기준으로 보증금 56000만원 전세로 거래되었습니다.
송파구 석촌동 전세,송파구 석촌동에 연립다세대 전세 보여주세요.,송파구 석촌동에 있는 2002년에 지어진 정원 연립다세대은/는 2.0층 41.51m²(임대면적) 기준으로 보증금 19845만원 전세로 거래되었습니다.
중랑구 신내동 월세,중랑구 신내동에 아파트 월세 보여주세요.,중랑구 신내동에 있는 1996년에 지어진 건영2차 아파트은/는 23.0층 57.3m²(임대면적) 기준으로 보증금 27300만원 임대료는 10만원에 월세로 거래되었습니다.
구로구 천왕동 전세,구로구 천왕동에 아파트 전세 보여주세요.,구로구 천왕동에 있는 2011년에 지어진 천왕이펜하우스2단지 아파트은/는 3.0층 114.85m²(임대면적) 기준으로 보증금 22258만원 전세로 거래되었습니다.
노원구 중계동 전세,노원구 중계동에 아파트 전세 보여주세요.,노원구 중계동에 있는 1995년에 지어진 건영3 아파트은/는 6.0층 84.9m²(임대면적) 기준으로 보증금 80000만원 전세로 거래되었습니다.
강서구 화곡동 월세,강서구 화곡동에 아파트 월세 보여주세요.,강서구 화곡동에 있는 2021년에 지어진 우장산역해링턴타워 아파트은/는 4.0층 23.68m²(임대면적) 기준으로 보증금 5680만원 임대료는 38만원에 월세로 거래되었습니다.
강서구 화곡동 월세,강서구 화곡동에 아파트 월세 보여주세요.,강서구 화곡동에 있는 2015년에 지어진 강서힐스테이트 아파트은/는 8.0층 59.99m²(임대면적) 기준으로 보증금 5000만원 임대료는 142만원에 월세로 거래되었습니다.
송파구 신천동 월세,송파구 신천동에 아파트 월세 보여주세요.,송파구 신천동에 있는 1979년에 지어진 장미1 아파트은/는 3.0층 82.45m²(임대면적) 기준으로 보증금 5000만원 임대료는 165만원에 월세로 거래되었습니다.
은평구 역촌동 월세,은평구 역촌동에 연립다세대 월세 보여주세요.,은평구 역촌동에 있는 1998년에 지어진 거성빌라트 연립다세대은/는 4.0층 44.91m²(임대면적) 기준으로 보증금 2000만원 임대료는 60만원에 월세로 거래되었습니다.
강서구 화곡동 전세,강서구 화곡동에 아파트 전세 보여주세요.,강서구 화곡동에 있는 2013년에 지어진 프라임하우스(916-9) 아파트은/는 8.0층 34.32m²(임대면적) 기준으로 보증금 15750만원 전세로 거래되었습니다.
강동구 강일동 월세,강동구 강일동에 아파트 월세 보여주세요.,강동구 강일동에 있는 2021년에 지어진 강동리버스트7단지 아파트은/는 5.0층 49.36m²(임대면적) 기준으로 보증금 8683만원 임대료는 13만원에 월세로 거래되었습니다.
송파구 신천동 전세,송파구 신천동에 아파트 전세 보여주세요.,송파구 신천동에 있는 2008년에 지어진 파크리오 아파트은/는 8.0층 84.79m²(임대면적) 기준으로 보증금 105000만원 전세로 거래되었습니다.
광진구 자양동 전세,광진구 자양동에 연립다세대 전세 보여주세요.,광진구 자양동에 있는 2017년에 지어진 Y-PARK(와이파크) 연립다세대은/는 5.0층 37.44m²(임대면적) 기준으로 보증금 30000만원 전세로 거래되었습니다.
용산구 문배동 전세,용산구 문배동에 오피스텔 전세 보여주세요.,용산구 문배동에 있는 2013년에 지어진 용산큐브 오피스텔은/는 12.0층 17.46m²(임대면적) 기준으로 보증금 17500만원 전세로 거래되었습니다.
강남구 세곡동 전세,강남구 세곡동에 아파트 전세 보여주세요.,강남구 세곡동에 있는 2013년에 지어진 강남엘에이치1단지 아파트은/는 3.0층 59.99m²(임대면적) 기준으로 보증금 60000만원 전세로 거래되었습니다.
구로구 천왕동 월세,구로구 천왕동에 아파트 월세 보여주세요.,구로구 천왕동에 있는 2011년에 지어진 천왕이펜하우스3단지 아파트은/는 9.0층 59.95m²(임대면적) 기준으로 보증금 8827만원 임대료는 14만원에 월세로 거래되었습니다.
강동구 강일동 월세,강동구 강일동에 아파트 월세 보여주세요.,강동구 강일동에 있는 2009년에 지어진 강일리버파크10단지 아파트은/는 10.0층 59.86m²(임대면적) 기준으로 보증금 8117만원 임대료는 12만원에 월세로 거래되었습니다.
강서구 화곡동 전세,강서구 화곡동에 아파트 전세 보여주세요.,강서구 화곡동에 있는 2002년에 지어진 정원 아파트은/는 5.0층 52.65m²(임대면적) 기준으로 보증금 15000만원 전세로 거래되었습니다.
강동구 상일동 월세,강동구 상일동에 아파트 월세 보여주세요.,강동구 상일동에 있는 2021년에 지어진 강동리엔파크14단지 아파트은/는 9.0층 36.87m²(임대면적) 기준으로 보증금 11141만원 임대료는 17만원에 월세로 거래되었습니다.
강서구 마곡동 월세,강서구 마곡동에 오피스텔 월세 보여주세요.,강서구 마곡동에 있는 2015년에 지어진 엠코지니어스타 오피스텔은/는 13.0층 26.28m²(임대면적) 기준으로 보증금 1000만원 임대료는 69만원에 월세로 거래되었습니다.
강서구 등촌동 월세,강서구 등촌동에 연립다세대 월세 보여주세요.,강서구 등촌동에 있는 2014년에 지어진 거산하이빌(521-22) 연립다세대은/는 4.0층 15.44m²(임대면적) 기준으로 보증금 3000만원 임대료는 65만원에 월세로 거래되었습니다.
강서구 화곡동 전세,강서구 화곡동에 연립다세대 전세 보여주세요.,강서구 화곡동에 있는 2002년에 지어진 하나타운(158-38) 연립다세대은/는 3.0층 60.55m²(임대면적) 기준으로 보증금 19000만원 전세로 거래되었습니다.
영등포구 신길동 전세,영등포구 신길동에 오피스텔 전세 보여주세요.,영등포구 신길동에 있는 2020년에 지어진 검지스캐슬 오피스텔은/는 12.0층 15.91m²(임대면적) 기준으로 보증금 19500만원 전세로 거래되었습니다.
강동구 둔촌동 전세,강동구 둔촌동에 아파트 전세 보여주세요.,강동구 둔촌동에 있는 1984년에 지어진 프라자 아파트은/는 11.0층 83.4m²(임대면적) 기준으로 보증금 50000만원 전세로 거래되었습니다.
강동구 강일동 월세,강동구 강일동에 아파트 월세 보여주세요.,강동구 강일동에 있는 2009년에 지어진 강일리버파크9단지 아파트은/는 4.0층 59.87m²(임대면적) 기준으로 보증금 8323만원 임대료는 12만원에 월세로 거래되었습니다.
강서구 염창동 전세,강서구 염창동에 아파트 전세 보여주세요.,강서구 염창동에 있는 2005년에 지어진 염창2차보람 아파트은/는 15.0층 84.97m²(임대면적) 기준으로 보증금 50000만원 전세로 거래되었습니다.
강동구 강일동 월세,강동구 강일동에 아파트 월세 보여주세요.,강동구 강일동에 있는 2009년에 지어진 강일리버파크9단지 아파트은/는 9.0층 59.87m²(임대면적) 기준으로 보증금 8323만원 임대료는 12만원에 월세로 거래되었습니다.
송파구 방이동 전세,송파구 방이동에 아파트 전세 보여주세요.,송파구 방이동에 있는 1988년에 지어진 올림픽선수기자촌2단지 아파트은/는 1.0층 120.42m²(임대면적) 기준으로 보증금 97650만원 전세로 거래되었습니다.
강서구 가양동 전세,강서구 가양동에 아파트 전세 보여주세요.,강서구 가양동에 있는 1992년에 지어진 가양2단지(성지) 아파트은/는 1.0층 34.44m²(임대면적) 기준으로 보증금 19000만원 전세로 거래되었습니다.
강남구 대치동 월세,강남구 대치동에 아파트 월세 보여주세요.,강남구 대치동에 있는 1979년에 지어진 은마 아파트은/는 9.0층 76.79m²(임대면적) 기준으로 보증금 20000만원 임대료는 200만원에 월세로 거래되었습니다.
강동구 천호동 월세,강동구 천호동에 연립다세대 월세 보여주세요.,강동구 천호동에 있는 2020년에 지어진 jkhouse 연립다세대은/는 3.0층 39.48m²(임대면적) 기준으로 보증금 1665만원 임대료는 40만원에 월세로 거래되었습니다.
도봉구 창동 전세,도봉구 창동에 연립다세대 전세 보여주세요.,도봉구 창동에 있는 2018년에 지어진 한일그랑빌 연립다세대은/는 6.0층 29.76m²(임대면적) 기준으로 보증금 15800만원 전세로 거래되었습니다.
강동구 천호동 월세,강동구 천호동에 연립다세대 월세 보여주세요.,강동구 천호동에 있는 2020년에 지어진 jkhouse 연립다세대은/는 4.0층 56.22m²(임대면적) 기준으로 보증금 2274만원 임대료는 56만원에 월세로 거래되었습니다.
강서구 화곡동 전세,강서구 화곡동에 연립다세대 전세 보여주세요.,강서구 화곡동에 있는 2015년에 지어진 현대블루밍 연립다세대은/는 5.0층 37.49m²(임대면적) 기준으로 보증금 20000만원 전세로 거래되었습니다.
강서구 화곡동 전세,강서구 화곡동에 아파트 전세 보여주세요.,강서구 화곡동에 있는 2015년에 지어진 강서힐스테이트 아파트은/는 6.0층 84.99m²(임대면적) 기준으로 보증금 73000만원 전세로 거래되었습니다.
구로구 천왕동 전세,구로구 천왕동에 아파트 전세 보여주세요.,구로구 천왕동에 있는 2011년에 지어진 천왕이펜하우스4단지 아파트은/는 6.0층 59.95m²(임대면적) 기준으로 보증금 14246만원 전세로 거래되었습니다.
금천구 가산동 전세,금천구 가산동에 오피스텔 전세 보여주세요.,금천구 가산동에 있는 2020년에 지어진 가산센트럴 푸르지오시티 오피스텔은/는 17.0층 17.69m²(임대면적) 기준으로 보증금 12800만원 전세로 거래되었습니다.
구로구 천왕동 전세,구로구 천왕동에 아파트 전세 보여주세요.,구로구 천왕동에 있는 2011년에 지어진 천왕이펜하우스4단지 아파트은/는 4.0층 49.58m²(임대면적) 기준으로 보증금 10116만원 전세로 거래되었습니다.
관악구 봉천동 전세,관악구 봉천동에 아파트 전세 보여주세요.,관악구 봉천동에 있는 2003년에 지어진 관악드림타운(임대) 아파트은/는 10.0층 32.76m²(임대면적) 기준으로 보증금 3949만원 전세로 거래되었습니다.
노원구 상계동 월세,노원구 상계동에 아파트 월세 보여주세요.,노원구 상계동에 있는 1988년에 지어진 상계주공10(고층) 아파트은/는 7.0층 58.01m²(임대면적) 기준으로 보증금 4000만원 임대료는 85만원에 월세로 거래되었습니다.
동대문구 장안동 월세,동대문구 장안동에 오피스텔 월세 보여주세요.,동대문구 장안동에 있는 2018년에 지어진 J빌딩 오피스텔은/는 4.0층 20.36m²(임대면적) 기준으로 보증금 1000만원 임대료는 54만원에 월세로 거래되었습니다.
송파구 송파동 전세,송파구 송파동에 아파트 전세 보여주세요.,송파구 송파동에 있는 1984년에 지어진 2차한양아파트 아파트은/는 12.0층 146.96m²(임대면적) 기준으로 보증금 68000만원 전세로 거래되었습니다.
구로구 천왕동 전세,구로구 천왕동에 아파트 전세 보여주세요.,구로구 천왕동에 있는 2011년에 지어진 천왕이펜하우스4단지 아파트은/는 12.0층 49.58m²(임대면적) 기준으로 보증금 10116만원 전세로 거래되었습니다.
중랑구 상봉동 전세,중랑구 상봉동에 아파트 전세 보여주세요.,중랑구 상봉동에 있는 1999년에 지어진 동부아파트 아파트은/는 9.0층 54.0m²(임대면적) 기준으로 보증금 31000만원 전세로 거래되었습니다.
마포구 성산동 전세,마포구 성산동에 아파트 전세 보여주세요.,마포구 성산동에 있는 1986년에 지어진 성산시영(유원) 아파트은/는 13.0층 59.43m²(임대면적) 기준으로 보증금 28000만원 전세로 거래되었습니다.
중랑구 망우동 월세,중랑구 망우동에 아파트 월세 보여주세요.,중랑구 망우동에 있는 2022년에 지어진 LH서울양원1단지 아파트은/는 8.0층 14.96m²(임대면적) 기준으로 보증금 3128만원 임대료는 7만원에 월세로 거래되었습니다.
서대문구 남가좌동 월세,서대문구 남가좌동에 아파트 월세 보여주세요.,서대문구 남가좌동에 있는 2018년에 지어진 DMC센트럴아이파크 아파트은/는 4.0층 84.98m²(임대면적) 기준으로 보증금 50000만원 임대료는 30만원에 월세로 거래되었습니다.
노원구 하계동 월세,노원구 하계동에 아파트 월세 보여주세요.,노원구 하계동에 있는 1988년에 지어진 한신1 아파트은/는 14.0층 27.0m²(임대면적) 기준으로 보증금 3000만원 임대료는 37만원에 월세로 거래되었습니다.
송파구 삼전동 월세,송파구 삼전동에 연립다세대 월세 보여주세요.,송파구 삼전동에 있는 2003년에 지어진 대성빌딩(73-10) 연립다세대은/는 4.0층 54.51m²(임대면적) 기준으로 보증금 23000만원 임대료는 25만원에 월세로 거래되었습니다.
성동구 성수동2가 전세,성동구 성수동2가에 아파트 전세 보여주세요.,성동구 성수동2가에 있는 2004년에 지어진 서울숲금강아미움 아파트은/는 6.0층 80.89m²(임대면적) 기준으로 보증금 60000만원 전세로 거래되었습니다.
은평구 녹번동 월세,은평구 녹번동에 연립다세대 월세 보여주세요.,은평구 녹번동에 있는 1991년에 지어진 (91-4) 연립다세대은/는 1.0층 53.44m²(임대면적) 기준으로 보증금 14000만원 임대료는 13만원에 월세로 거래되었습니다.
영등포구 영등포동7가 전세,영등포구 영등포동7가에 오피스텔 전세 보여주세요.,영등포구 영등포동7가에 있는 2008년에 지어진 청호오피스텔 오피스텔은/는 5.0층 17.1m²(임대면적) 기준으로 보증금 13300만원 전세로 거래되었습니다.
성동구 응봉동 전세,성동구 응봉동에 아파트 전세 보여주세요.,성동구 응봉동에 있는 1986년에 지어진 대림(1차) 아파트은/는 15.0층 75.51m²(임대면적) 기준으로 보증금 36700만원 전세로 거래되었습니다.
노원구 상계동 전세,노원구 상계동에 아파트 전세 보여주세요.,노원구 상계동에 있는 1988년에 지어진 상계주공4(고층) 아파트은/는 14.0층 84.2m²(임대면적) 기준으로 보증금 32000만원 전세로 거래되었습니다.
강동구 암사동 전세,강동구 암사동에 연립다세대 전세 보여주세요.,강동구 암사동에 있는 2019년에 지어진 489해마루 연립다세대은/는 3.0층 14.4m²(임대면적) 기준으로 보증금 13000만원 전세로 거래되었습니다.
용산구 용문동 월세,용산구 용문동에 연립다세대 월세 보여주세요.,용산구 용문동에 있는 2013년에 지어진 한강타운 연립다세대은/는 2.0층 13.53m²(임대면적) 기준으로 보증금 1000만원 임대료는 48만원에 월세로 거래되었습니다.
성북구 장위동 전세,성북구 장위동에 아파트 전세 보여주세요.,성북구 장위동에 있는 2022년에 지어진 꿈의숲아이파크 아파트은/는 19.0층 59.1m²(임대면적) 기준으로 보증금 54000만원 전세로 거래되었습니다.
마포구 성산동 전세,마포구 성산동에 아파트 전세 보여주세요.,마포구 성산동에 있는 1986년에 지어진 성산시영(유원) 아파트은/는 4.0층 59.43m²(임대면적) 기준으로 보증금 31970만원 전세로 거래되었습니다.
성동구 하왕십리동 월세,성동구 하왕십리동에 연립다세대 월세 보여주세요.,성동구 하왕십리동에 있는 2022년에 지어진 (890-84) 연립다세대은/는 5.0층 36.94m²(임대면적) 기준으로 보증금 10000만원 임대료는 132만원에 월세로 거래되었습니다.
은평구 대조동 전세,은평구 대조동에 연립다세대 전세 보여주세요.,은평구 대조동에 있는 2019년에 지어진 하나블루힐스 연립다세대은/는 3.0층 53.08m²(임대면적) 기준으로 보증금 30000만원 전세로 거래되었습니다.
강서구 공항동 전세,강서구 공항동에 아파트 전세 보여주세요.,강서구 공항동에 있는 2009년에 지어진 공항동부센트레빌 아파트은/는 7.0층 84.99m²(임대면적) 기준으로 보증금 53000만원 전세로 거래되었습니다.
노원구 상계동 전세,노원구 상계동에 아파트 전세 보여주세요.,노원구 상계동에 있는 1987년에 지어진 상계주공3(고층) 아파트은/는 13.0층 59.2m²(임대면적) 기준으로 보증금 26000만원 전세로 거래되었습니다.
영등포구 문래동1가 전세,영등포구 문래동1가에 연립다세대 전세 보여주세요.,영등포구 문래동1가에 있는 2023년에 지어진 2030센터뷰 연립다세대은/는 8.0층 26.95m²(임대면적) 기준으로 보증금 28000만원 전세로 거래되었습니다.
송파구 신천동 전세,송파구 신천동에 아파트 전세 보여주세요.,송파구 신천동에 있는 2008년에 지어진 파크리오 아파트은/는 31.0층 84.9m²(임대면적) 기준으로 보증금 92000만원 전세로 거래되었습니다.
서초구 우면동 월세,서초구 우면동에 연립다세대 월세 보여주세요.,서초구 우면동에 있는 2011년에 지어진 네이처힐가든 연립다세대은/는 5.0층 59.79m²(임대면적) 기준으로 보증금 3337만원 임대료는 53만원에 월세로 거래되었습니다.
강동구 천호동 월세,강동구 천호동에 연립다세대 월세 보여주세요.,강동구 천호동에 있는 2023년에 지어진 아스하임 연립다세대은/는 2.0층 29.07m²(임대면적) 기준으로 보증금 3000만원 임대료는 90만원에 월세로 거래되었습니다.
은평구 수색동 전세,은평구 수색동에 아파트 전세 보여주세요.,은평구 수색동에 있는 2021년에 지어진 DMCSKVIEW 아파트은/는 10.0층 59.99m²(임대면적) 기준으로 보증금 60000만원 전세로 거래되었습니다.
중랑구 신내동 월세,중랑구 신내동에 아파트 월세 보여주세요.,중랑구 신내동에 있는 2018년에 지어진 우디안4단지 아파트은/는 3.0층 31.85m²(임대면적) 기준으로 보증금 5670만원 임대료는 19만원에 월세로 거래되었습니다.
서대문구 홍제동 월세,서대문구 홍제동에 아파트 월세 보여주세요.,서대문구 홍제동에 있는 1999년에 지어진 남양 아파트은/는 21.0층 84.71m²(임대면적) 기준으로 보증금 30000만원 임대료는 50만원에 월세로 거래되었습니다.
강동구 성내동 월세,강동구 성내동에 연립다세대 월세 보여주세요.,강동구 성내동에 있는 2020년에 지어진 삼화에코빌 연립다세대은/는 4.0층 50.1m²(임대면적) 기준으로 보증금 2399만원 임대료는 61만원에 월세로 거래되었습니다.
서대문구 북가좌동 전세,서대문구 북가좌동에 아파트 전세 보여주세요.,서대문구 북가좌동에 있는 1987년에 지어진 DMC한양 아파트은/는 1.0층 65.34m²(임대면적) 기준으로 보증금 27000만원 전세로 거래되었습니다.
강남구 대치동 월세,강남구 대치동에 아파트 월세 보여주세요.,강남구 대치동에 있는 1979년에 지어진 은마 아파트은/는 7.0층 84.43m²(임대면적) 기준으로 보증금 35000만원 임대료는 135만원에 월세로 거래되었습니다.
강동구 성내동 전세,강동구 성내동에 연립다세대 전세 보여주세요.,강동구 성내동에 있는 2019년에 지어진 더존예가D 연립다세대은/는 9.0층 15.99m²(임대면적) 기준으로 보증금 19950만원 전세로 거래되었습니다.
성북구 종암동 전세,성북구 종암동에 아파트 전세 보여주세요.,성북구 종암동에 있는 2004년에 지어진 삼성래미안 아파트은/는 7.0층 59.99m²(임대면적) 기준으로 보증금 36750만원 전세로 거래되었습니다.
양천구 목동 전세,양천구 목동에 연립다세대 전세 보여주세요.,양천구 목동에 있는 1987년에 지어진 (545-33) 연립다세대은/는 -1.0층 48.92m²(임대면적) 기준으로 보증금 10000만원 전세로 거래되었습니다.
강동구 성내동 월세,강동구 성내동에 연립다세대 월세 보여주세요.,강동구 성내동에 있는 2021년에 지어진 엘림하우스(503-5) 연립다세대은/는 4.0층 35.68m²(임대면적) 기준으로 보증금 5640만원 임대료는 22만원에 월세로 거래되었습니다.
영등포구 당산동 월세,영등포구 당산동에 오피스텔 월세 보여주세요.,영등포구 당산동에 있는 2011년에 지어진 노들리안 오피스텔1 오피스텔은/는 11.0층 29.31m²(임대면적) 기준으로 보증금 8000만원 임대료는 35만원에 월세로 거래되었습니다.
강북구 수유동 월세,강북구 수유동에 아파트 월세 보여주세요.,강북구 수유동에 있는 2021년에 지어진 에피소드수유838 아파트은/는 6.0층 17.54m²(임대면적) 기준으로 보증금 1000만원 임대료는 74만원에 월세로 거래되었습니다.
서대문구 남가좌동 월세,서대문구 남가좌동에 아파트 월세 보여주세요.,서대문구 남가좌동에 있는 2015년에 지어진 DMC파크뷰자이2단지 아파트은/는 12.0층 84.97m²(임대면적) 기준으로 보증금 40000만원 임대료는 110만원에 월세로 거래되었습니다.
강동구 암사동 전세,강동구 암사동에 연립다세대 전세 보여주세요.,강동구 암사동에 있는 2004년에 지어진 지니하우스 연립다세대은/는 2.0층 63.73m²(임대면적) 기준으로 보증금 24000만원 전세로 거래되었습니다.
도봉구 쌍문동 전세,도봉구 쌍문동에 아파트 전세 보여주세요.,도봉구 쌍문동에 있는 1991년에 지어진 금호2 아파트은/는 14.0층 69.82m²(임대면적) 기준으로 보증금 33000만원 전세로 거래되었습니다.
동작구 사당동 전세,동작구 사당동에 아파트 전세 보여주세요.,동작구 사당동에 있는 1993년에 지어진 사당우성2 아파트은/는 10.0층 59.89m²(임대면적) 기준으로 보증금 47000만원 전세로 거래되었습니다.
송파구 오금동 월세,송파구 오금동에 연립다세대 월세 보여주세요.,송파구 오금동에 있는 2023년에 지어진 (71-9) 연립다세대은/는 3.0층 29.85m²(임대면적) 기준으로 보증금 5000만원 임대료는 120만원에 월세로 거래되었습니다.
송파구 잠실동 월세,송파구 잠실동에 아파트 월세 보여주세요.,송파구 잠실동에 있는 1978년에 지어진 주공아파트 5단지 아파트은/는 6.0층 82.51m²(임대면적) 기준으로 보증금 30000만원 임대료는 55만원에 월세로 거래되었습니다.
서초구 우면동 월세,서초구 우면동에 연립다세대 월세 보여주세요.,서초구 우면동에 있는 2011년에 지어진 네이처힐가든 연립다세대은/는 3.0층 59.79m²(임대면적) 기준으로 보증금 9313만원 임대료는 35만원에 월세로 거래되었습니다.
강서구 화곡동 월세,강서구 화곡동에 오피스텔 월세 보여주세요.,강서구 화곡동에 있는 2021년에 지어진 쌍떼포레 오피스텔은/는 13.0층 23.0m²(임대면적) 기준으로 보증금 3000만원 임대료는 65만원에 월세로 거래되었습니다.
종로구 원서동 전세,종로구 원서동에 연립다세대 전세 보여주세요.,종로구 원서동에 있는 1997년에 지어진 (86-20) 연립다세대은/는 2.0층 19.84m²(임대면적) 기준으로 보증금 14000만원 전세로 거래되었습니다.
송파구 풍납동 전세,송파구 풍납동에 아파트 전세 보여주세요.,송파구 풍납동에 있는 2019년에 지어진 잠실올림픽공원아이파크 아파트은/는 10.0층 84.99m²(임대면적) 기준으로 보증금 95000만원 전세로 거래되었습니다.
강서구 화곡동 전세,강서구 화곡동에 연립다세대 전세 보여주세요.,강서구 화곡동에 있는 2015년에 지어진 도원솔비치 연립다세대은/는 3.0층 29.91m²(임대면적) 기준으로 보증금 16250만원 전세로 거래되었습니다.
강서구 화곡동 전세,강서구 화곡동에 아파트 전세 보여주세요.,강서구 화곡동에 있는 2012년에 지어진 아델리아Ⅳ 아파트은/는 4.0층 17.73m²(임대면적) 기준으로 보증금 14000만원 전세로 거래되었습니다.
송파구 송파동 월세,송파구 송파동에 연립다세대 월세 보여주세요.,송파구 송파동에 있는 2003년에 지어진 (85-10) 연립다세대은/는 4.0층 34.55m²(임대면적) 기준으로 보증금 1000만원 임대료는 73만원에 월세로 거래되었습니다.
노원구 중계동 전세,노원구 중계동에 아파트 전세 보여주세요.,노원구 중계동에 있는 1993년에 지어진 현대1(4차) 아파트은/는 5.0층 84.99m²(임대면적) 기준으로 보증금 45000만원 전세로 거래되었습니다.
강동구 고덕동 전세,강동구 고덕동에 아파트 전세 보여주세요.,강동구 고덕동에 있는 2019년에 지어진 고덕그라시움 아파트은/는 18.0층 59.03m²(임대면적) 기준으로 보증금 46300만원 전세로 거래되었습니다.
마포구 망원동 전세,마포구 망원동에 연립다세대 전세 보여주세요.,마포구 망원동에 있는 1995년에 지어진 선궁연립 연립다세대은/는 2.0층 58.23m²(임대면적) 기준으로 보증금 24000만원 전세로 거래되었습니다.
서대문구 홍은동 전세,서대문구 홍은동에 연립다세대 전세 보여주세요.,서대문구 홍은동에 있는 1992년에 지어진 (8-694) 연립다세대은/는 1.0층 32.43m²(임대면적) 기준으로 보증금 6000만원 전세로 거래되었습니다.
금천구 가산동 전세,금천구 가산동에 오피스텔 전세 보여주세요.,금천구 가산동에 있는 2021년에 지어진 지밸리마인드3차 오피스텔은/는 10.0층 18.54m²(임대면적) 기준으로 보증금 18000만원 전세로 거래되었습니다.
성동구 행당동 전세,성동구 행당동에 아파트 전세 보여주세요.,성동구 행당동에 있는 2000년에 지어진 대림e-편한세상 아파트은/는 9.0층 114.94m²(임대면적) 기준으로 보증금 80000만원 전세로 거래되었습니다.
