구분,질문,답변
응암동/전세/보증금,응암동 전세 보증금 가장비싼 높은 고액,응암동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 78000만원 전세로 거래되었습니다.
서교동/전세/보증금,서교동 전세 보증금 가장비싼 높은 고액,서교동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 36000만원 전세로 거래되었습니다.
가양동/전세/보증금,가양동 전세 보증금 가장비싼 높은 고액,가양동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 55000만원 전세로 거래되었습니다.
잠실동/전세/보증금,잠실동 전세 보증금 가장비싼 높은 고액,잠실동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 190000만원 전세로 거래되었습니다.
진관동/전세/보증금,진관동 전세 보증금 가장비싼 높은 고액,진관동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 100000만원 전세로 거래되었습니다.
하왕십리동/전세/보증금,하왕십리동 전세 보증금 가장비싼 높은 고액,하왕십리동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 140000만원 전세로 거래되었습니다.
이태원동/전세/보증금,이태원동 전세 보증금 가장비싼 높은 고액,이태원동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 78000만원 전세로 거래되었습니다.
내발산동/전세/보증금,내발산동 전세 보증금 가장비싼 높은 고액,내발산동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 73000만원 전세로 거래되었습니다.
도림동/전세/보증금,도림동 전세 보증금 가장비싼 높은 고액,도림동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 55000만원 전세로 거래되었습니다.
상암동/전세/보증금,상암동 전세 보증금 가장비싼 높은 고액,상암동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 65000만원 전세로 거래되었습니다.
독산동/전세/보증금,독산동 전세 보증금 가장비싼 높은 고액,독산동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 45000만원 전세로 거래되었습니다.
상봉동/전세/보증금,상봉동 전세 보증금 가장비싼 높은 고액,상봉동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 46000만원 전세로 거래되었습니다.
양평동4가/전세/보증금,양평동4가 전세 보증금 가장비싼 높은 고액,양평동4가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 43000만원 전세로 거래되었습니다.
마곡동/전세/보증금,마곡동 전세 보증금 가장비싼 높은 고액,마곡동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 87000만원 전세로 거래되었습니다.
녹번동/전세/보증금,녹번동 전세 보증금 가장비싼 높은 고액,녹번동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 67000만원 전세로 거래되었습니다.
신도림동/전세/보증금,신도림동 전세 보증금 가장비싼 높은 고액,신도림동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 86000만원 전세로 거래되었습니다.
양평동5가/전세/보증금,양평동5가 전세 보증금 가장비싼 높은 고액,양평동5가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 60000만원 전세로 거래되었습니다.
우면동/전세/보증금,우면동 전세 보증금 가장비싼 높은 고액,우면동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 94000만원 전세로 거래되었습니다.
개봉동/전세/보증금,개봉동 전세 보증금 가장비싼 높은 고액,개봉동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 60000만원 전세로 거래되었습니다.
공릉동/전세/보증금,공릉동 전세 보증금 가장비싼 높은 고액,공릉동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 47000만원 전세로 거래되었습니다.
성내동/전세/보증금,성내동 전세 보증금 가장비싼 높은 고액,성내동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 60000만원 전세로 거래되었습니다.
목동/전세/보증금,목동 전세 보증금 가장비싼 높은 고액,목동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 120000만원 전세로 거래되었습니다.
불광동/전세/보증금,불광동 전세 보증금 가장비싼 높은 고액,불광동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 56000만원 전세로 거래되었습니다.
영등포동7가/전세/보증금,영등포동7가 전세 보증금 가장비싼 높은 고액,영등포동7가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 120000만원 전세로 거래되었습니다.
사당동/전세/보증금,사당동 전세 보증금 가장비싼 높은 고액,사당동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 95000만원 전세로 거래되었습니다.
내곡동/전세/보증금,내곡동 전세 보증금 가장비싼 높은 고액,내곡동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 65000만원 전세로 거래되었습니다.
신사동/전세/보증금,신사동 전세 보증금 가장비싼 높은 고액,신사동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 60000만원 전세로 거래되었습니다.
월계동/전세/보증금,월계동 전세 보증금 가장비싼 높은 고액,월계동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 65000만원 전세로 거래되었습니다.
수유동/전세/보증금,수유동 전세 보증금 가장비싼 높은 고액,수유동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 40000만원 전세로 거래되었습니다.
화곡동/전세/보증금,화곡동 전세 보증금 가장비싼 높은 고액,화곡동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 79000만원 전세로 거래되었습니다.
성산동/전세/보증금,성산동 전세 보증금 가장비싼 높은 고액,성산동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 52000만원 전세로 거래되었습니다.
하계동/전세/보증금,하계동 전세 보증금 가장비싼 높은 고액,하계동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 65000만원 전세로 거래되었습니다.
도화동/전세/보증금,도화동 전세 보증금 가장비싼 높은 고액,도화동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 80000만원 전세로 거래되었습니다.
아현동/전세/보증금,아현동 전세 보증금 가장비싼 높은 고액,아현동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 131850만원 전세로 거래되었습니다.
길음동/전세/보증금,길음동 전세 보증금 가장비싼 높은 고액,길음동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 130000만원 전세로 거래되었습니다.
이문동/전세/보증금,이문동 전세 보증금 가장비싼 높은 고액,이문동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 50000만원 전세로 거래되었습니다.
중림동/전세/보증금,중림동 전세 보증금 가장비싼 높은 고액,중림동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 45000만원 전세로 거래되었습니다.
북아현동/전세/보증금,북아현동 전세 보증금 가장비싼 높은 고액,북아현동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 90000만원 전세로 거래되었습니다.
구로동/전세/보증금,구로동 전세 보증금 가장비싼 높은 고액,구로동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 50000만원 전세로 거래되었습니다.
신원동/전세/보증금,신원동 전세 보증금 가장비싼 높은 고액,신원동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 74550만원 전세로 거래되었습니다.
묵동/전세/보증금,묵동 전세 보증금 가장비싼 높은 고액,묵동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 70000만원 전세로 거래되었습니다.
미아동/전세/보증금,미아동 전세 보증금 가장비싼 높은 고액,미아동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 52000만원 전세로 거래되었습니다.
염창동/전세/보증금,염창동 전세 보증금 가장비싼 높은 고액,염창동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 75000만원 전세로 거래되었습니다.
정동/전세/보증금,정동 전세 보증금 가장비싼 높은 고액,정동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 31500만원 전세로 거래되었습니다.
신월동/전세/보증금,신월동 전세 보증금 가장비싼 높은 고액,신월동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 62000만원 전세로 거래되었습니다.
장지동/전세/보증금,장지동 전세 보증금 가장비싼 높은 고액,장지동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 85000만원 전세로 거래되었습니다.
수서동/전세/보증금,수서동 전세 보증금 가장비싼 높은 고액,수서동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 150000만원 전세로 거래되었습니다.
창신동/전세/보증금,창신동 전세 보증금 가장비싼 높은 고액,창신동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 50000만원 전세로 거래되었습니다.
역삼동/전세/보증금,역삼동 전세 보증금 가장비싼 높은 고액,역삼동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 130000만원 전세로 거래되었습니다.
방학동/전세/보증금,방학동 전세 보증금 가장비싼 높은 고액,방학동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 43000만원 전세로 거래되었습니다.
방화동/전세/보증금,방화동 전세 보증금 가장비싼 높은 고액,방화동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 61000만원 전세로 거래되었습니다.
중화동/전세/보증금,중화동 전세 보증금 가장비싼 높은 고액,중화동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 45000만원 전세로 거래되었습니다.
구의동/전세/보증금,구의동 전세 보증금 가장비싼 높은 고액,구의동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 69000만원 전세로 거래되었습니다.
증산동/전세/보증금,증산동 전세 보증금 가장비싼 높은 고액,증산동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 44000만원 전세로 거래되었습니다.
송정동/전세/보증금,송정동 전세 보증금 가장비싼 높은 고액,송정동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 55000만원 전세로 거래되었습니다.
서초동/전세/보증금,서초동 전세 보증금 가장비싼 높은 고액,서초동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 160000만원 전세로 거래되었습니다.
여의도동/전세/보증금,여의도동 전세 보증금 가장비싼 높은 고액,여의도동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 180000만원 전세로 거래되었습니다.
장위동/전세/보증금,장위동 전세 보증금 가장비싼 높은 고액,장위동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 65000만원 전세로 거래되었습니다.
양평동6가/전세/보증금,양평동6가 전세 보증금 가장비싼 높은 고액,양평동6가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 22000만원 전세로 거래되었습니다.
신정동/전세/보증금,신정동 전세 보증금 가장비싼 높은 고액,신정동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 120000만원 전세로 거래되었습니다.
길동/전세/보증금,길동 전세 보증금 가장비싼 높은 고액,길동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 57000만원 전세로 거래되었습니다.
정릉동/전세/보증금,정릉동 전세 보증금 가장비싼 높은 고액,정릉동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 47000만원 전세로 거래되었습니다.
노고산동/전세/보증금,노고산동 전세 보증금 가장비싼 높은 고액,노고산동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 28000만원 전세로 거래되었습니다.
신내동/전세/보증금,신내동 전세 보증금 가장비싼 높은 고액,신내동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 47000만원 전세로 거래되었습니다.
양평동1가/전세/보증금,양평동1가 전세 보증금 가장비싼 높은 고액,양평동1가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 29100만원 전세로 거래되었습니다.
고덕동/전세/보증금,고덕동 전세 보증금 가장비싼 높은 고액,고덕동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 120000만원 전세로 거래되었습니다.
잠원동/전세/보증금,잠원동 전세 보증금 가장비싼 높은 고액,잠원동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 165000만원 전세로 거래되었습니다.
일원동/전세/보증금,일원동 전세 보증금 가장비싼 높은 고액,일원동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 140000만원 전세로 거래되었습니다.
마천동/전세/보증금,마천동 전세 보증금 가장비싼 높은 고액,마천동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 64000만원 전세로 거래되었습니다.
신림동/전세/보증금,신림동 전세 보증금 가장비싼 높은 고액,신림동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 65000만원 전세로 거래되었습니다.
암사동/전세/보증금,암사동 전세 보증금 가장비싼 높은 고액,암사동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 90000만원 전세로 거래되었습니다.
원효로1가/전세/보증금,원효로1가 전세 보증금 가장비싼 높은 고액,원효로1가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 103000만원 전세로 거래되었습니다.
오류동/전세/보증금,오류동 전세 보증금 가장비싼 높은 고액,오류동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 44000만원 전세로 거래되었습니다.
봉천동/전세/보증금,봉천동 전세 보증금 가장비싼 높은 고액,봉천동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 75000만원 전세로 거래되었습니다.
둔촌동/전세/보증금,둔촌동 전세 보증금 가장비싼 높은 고액,둔촌동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 68000만원 전세로 거래되었습니다.
신창동/전세/보증금,신창동 전세 보증금 가장비싼 높은 고액,신창동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 55000만원 전세로 거래되었습니다.
자양동/전세/보증금,자양동 전세 보증금 가장비싼 높은 고액,자양동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 152000만원 전세로 거래되었습니다.
쌍문동/전세/보증금,쌍문동 전세 보증금 가장비싼 높은 고액,쌍문동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 44500만원 전세로 거래되었습니다.
번동/전세/보증금,번동 전세 보증금 가장비싼 높은 고액,번동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 45010만원 전세로 거래되었습니다.
홍은동/전세/보증금,홍은동 전세 보증금 가장비싼 높은 고액,홍은동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 81000만원 전세로 거래되었습니다.
중계동/전세/보증금,중계동 전세 보증금 가장비싼 높은 고액,중계동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 80000만원 전세로 거래되었습니다.
행당동/전세/보증금,행당동 전세 보증금 가장비싼 높은 고액,행당동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 80000만원 전세로 거래되었습니다.
신천동/전세/보증금,신천동 전세 보증금 가장비싼 높은 고액,신천동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 110000만원 전세로 거래되었습니다.
용답동/전세/보증금,용답동 전세 보증금 가장비싼 높은 고액,용답동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 25000만원 전세로 거래되었습니다.
장안동/전세/보증금,장안동 전세 보증금 가장비싼 높은 고액,장안동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 60000만원 전세로 거래되었습니다.
풍납동/전세/보증금,풍납동 전세 보증금 가장비싼 높은 고액,풍납동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 95000만원 전세로 거래되었습니다.
등촌동/전세/보증금,등촌동 전세 보증금 가장비싼 높은 고액,등촌동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 65000만원 전세로 거래되었습니다.
흑석동/전세/보증금,흑석동 전세 보증금 가장비싼 높은 고액,흑석동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 120000만원 전세로 거래되었습니다.
답십리동/전세/보증금,답십리동 전세 보증금 가장비싼 높은 고액,답십리동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 65000만원 전세로 거래되었습니다.
천호동/전세/보증금,천호동 전세 보증금 가장비싼 높은 고액,천호동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 85000만원 전세로 거래되었습니다.
이촌동/전세/보증금,이촌동 전세 보증금 가장비싼 높은 고액,이촌동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 245000만원 전세로 거래되었습니다.
신길동/전세/보증금,신길동 전세 보증금 가장비싼 높은 고액,신길동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 70000만원 전세로 거래되었습니다.
면목동/전세/보증금,면목동 전세 보증금 가장비싼 높은 고액,면목동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 65000만원 전세로 거래되었습니다.
천왕동/전세/보증금,천왕동 전세 보증금 가장비싼 높은 고액,천왕동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 42320만원 전세로 거래되었습니다.
공항동/전세/보증금,공항동 전세 보증금 가장비싼 높은 고액,공항동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 53000만원 전세로 거래되었습니다.
구산동/전세/보증금,구산동 전세 보증금 가장비싼 높은 고액,구산동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 47000만원 전세로 거래되었습니다.
돈암동/전세/보증금,돈암동 전세 보증금 가장비싼 높은 고액,돈암동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 75000만원 전세로 거래되었습니다.
청량리동/전세/보증금,청량리동 전세 보증금 가장비싼 높은 고액,청량리동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 52000만원 전세로 거래되었습니다.
창동/전세/보증금,창동 전세 보증금 가장비싼 높은 고액,창동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 48000만원 전세로 거래되었습니다.
상왕십리동/전세/보증금,상왕십리동 전세 보증금 가장비싼 높은 고액,상왕십리동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 110000만원 전세로 거래되었습니다.
창전동/전세/보증금,창전동 전세 보증금 가장비싼 높은 고액,창전동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 75000만원 전세로 거래되었습니다.
상일동/전세/보증금,상일동 전세 보증금 가장비싼 높은 고액,상일동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 80000만원 전세로 거래되었습니다.
숭인동/전세/보증금,숭인동 전세 보증금 가장비싼 높은 고액,숭인동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 73000만원 전세로 거래되었습니다.
강일동/전세/보증금,강일동 전세 보증금 가장비싼 높은 고액,강일동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 60000만원 전세로 거래되었습니다.
개포동/전세/보증금,개포동 전세 보증금 가장비싼 높은 고액,개포동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 225700만원 전세로 거래되었습니다.
가산동/전세/보증금,가산동 전세 보증금 가장비싼 높은 고액,가산동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 23000만원 전세로 거래되었습니다.
신공덕동/전세/보증금,신공덕동 전세 보증금 가장비싼 높은 고액,신공덕동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 133000만원 전세로 거래되었습니다.
역촌동/전세/보증금,역촌동 전세 보증금 가장비싼 높은 고액,역촌동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 59100만원 전세로 거래되었습니다.
노량진동/전세/보증금,노량진동 전세 보증금 가장비싼 높은 고액,노량진동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 60000만원 전세로 거래되었습니다.
문래동2가/전세/보증금,문래동2가 전세 보증금 가장비싼 높은 고액,문래동2가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 29950만원 전세로 거래되었습니다.
당산동4가/전세/보증금,당산동4가 전세 보증금 가장비싼 높은 고액,당산동4가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 85000만원 전세로 거래되었습니다.
망원동/전세/보증금,망원동 전세 보증금 가장비싼 높은 고액,망원동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 90000만원 전세로 거래되었습니다.
현저동/전세/보증금,현저동 전세 보증금 가장비싼 높은 고액,현저동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 52000만원 전세로 거래되었습니다.
원효로3가/전세/보증금,원효로3가 전세 보증금 가장비싼 높은 고액,원효로3가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 25000만원 전세로 거래되었습니다.
도곡동/전세/보증금,도곡동 전세 보증금 가장비싼 높은 고액,도곡동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 195000만원 전세로 거래되었습니다.
신수동/전세/보증금,신수동 전세 보증금 가장비싼 높은 고액,신수동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 100000만원 전세로 거래되었습니다.
대치동/전세/보증금,대치동 전세 보증금 가장비싼 높은 고액,대치동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 255000만원 전세로 거래되었습니다.
용산동2가/전세/보증금,용산동2가 전세 보증금 가장비싼 높은 고액,용산동2가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 32000만원 전세로 거래되었습니다.
양재동/전세/보증금,양재동 전세 보증금 가장비싼 높은 고액,양재동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 58000만원 전세로 거래되었습니다.
반포동/전세/보증금,반포동 전세 보증금 가장비싼 높은 고액,반포동에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 340000만원 전세로 거래되었습니다.
당산동2가/전세/보증금,당산동2가 전세 보증금 가장비싼 높은 고액,당산동2가에서 보증금이 가장비싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 59000만원 전세로 거래되었습니다.
