분류,유저,챗봇
용어,계획관리지역,"계획관리지역
도시지역으로 편입이 예상되는 지역이나 자연환경을 고려하여 제한적인 이용 · 개발을 하려는 지역으로 계획적이고 체계적인 관리가 필요한 지역을 말한다. 도시지역 외 지역으로 50% 이상이 계획관리지역이면 지구단위계획구역의 지정 대상이 된다. 계획관리지역에서 건축할 수 있는 건축물의 종류는 단독주택, 제1종 근린생활시설, 제2종 근린생활시설, 의료시설, 노유자시설 등이 있다.다만 이 건축물은 4층 이하로 한정되는데, 도시계획조례에서 따로 층수를 정하는 경우에는 그 층수 이하의 건물로 한정된다.이 지역의 건폐율은 40% 이하의 범위 내에서 특별시 · 광역시 · 특별자치시 · 특별자치도 · 시 · 또는 군의 도시 · 군계획조례가 정하는 비율을 초과해선 안되며, 용적률은 50% 이상 100% 이하로 관할구역의 면적, 인구규모 및 용도지역의 특성 등을 감안하여 특별시 · 광역시 · 특별자치시 · 특별자치도 · 시 또는 군의 도시 · 군계획조례가 정하는 비율을 초과할 수 없다.필요한 경우에는 당해 지방자치단체의 관할구역을 세분하여 건폐율과 용적률을 달리 정할 수 있다. 근거는 국토의 계획 및 이용에 관한 법률 및 동법 시행령이다."
용어,다중주택,"다중주택
학생 또는 직장인 등 여러 사람이 장기간 거주할 수 있는 구조로 되어 있고, 독립된 주거의 형태를 갖추지 않은 것으로 연면적이 660제곱미터 이하이고 층수가 4층 이하(필로티 구조)인 주택을 말한다. 여기서 독립된 주거 형태를 갖추지 않았다는 것은 각 실별로 욕실은 설치할 수 있으나 취사시설은 설치하지 않은 것을 말한다.보통 대학가 등지에서 흔히 볼 수 있는 유형의 주택으로, 입주자가 단독으로 사용할 수 있는 것은 자신의 방 하나뿐이며 거실과 부엌 및 화장실은 공동으로 사용하는 형태의 주택이다. 이것은 건축법상 용도별 건축물의 종류상 단독주택에 해당된다."
용어,보전녹지지역,"보전녹지지역
녹지지역 중 하나로 도시의 자연환경 · 경관 · 산림 및 녹지공간을 보전할 필요가 있는 지역을 말한다. 보전녹지지역안에서 건축할 수 있는 건축물은 초등학교, 농림축산수산업용 창고, 교정 및 국방군사시설이며, 도시 · 군계획조례가 정하는 바에 따라 4층이하의 단독주택(다가구주택제외), 근린생활시설, 종교집회장, 의료시설, 유치원, 중학교, 고등학교, 노유자시설, 묘지관련시설, 장례식장 등은 건축할 수 있다.보전녹지지역 내에서 건폐율은 20퍼센트 이하의 범위 안에서, 용적률은 80퍼센트 이하의 범위안에서 관할구역의 면적, 인구규모 및 용도지역의 특성 등을 감안하여 특별시, 광역시, 특별자치시, 특별자치도, 시 또는 군의 조례로 정한다. 근거법은 국토의 계획 및 이용에 관한 법률 시행령이다."
용어,제한능력자,"제한능력자
권리나 의무를 지기 위한 행위를 혼자서 완전히 할 수 있는 능력을 행위능력이라 하고, 이러한 행위능력이 없는 자를 종전에는 무능력자라고 하였다. 무능력자는 미성년자, 한정치산자, 금치산자가 있었다. 2011.3.7. 민법개정으로 종전 획일적으로 행위능력을 제한하는 문제점을 내포하고 있는 무능력자제도 대신 제한능력자제도를 도입하였다.제한능력자는 미성년자, 피성년후견인, 피한정후견인이 있다. 미성년자는 19세에 이르지 않은 사람, 피성년후견인은 질병 · 장애 · 노령 · 그 밖의 사유로 인한 정신적 제약으로 사무를 처리할 능력이 지속적으로 결여되어 가정법원에서 성년후견개시의 심판을 받은 사람이다.성년후견 등을 요구하는 노인, 장애인 등에 대한 보호를 강화하고, 피성년후견인 등과 거래하는 상대방을 보호하기 위하여 성년후견 등에 관하여 등기로 공시하도록 하였다. 피한정후견인은 질병 · 장애 · 노령 · 그 밖의 사유로 인한 정신적 제약으로 사무를 처리할 능력이 부족하여 가정법원에서 한정후견 개시의 심판을 받은 사람이다.제한능력자의 상대방은 제한능력자와 법정대리인에게 취소할 수 있는 행위를 추인할 것인지 여부의 확답을 촉구할 권리가 있으며, 제한능력자의 계약 및 단독행위는 일정한 요건에서 철회 또는 거절할 수 있다.근거법은 민법이다."
용어,일반상업지역,"일반상업지역
일반적인 상업기능 및 업무기능을 담당하게 하기 위해 필요한 지역으로 일반상업지역은 도시 · 군계획조례가 비율을 따로 정한 것을 제외한 주거용 외에 용도가 복합된 건물로 공동주택 부분의 면적이 연면적의 합계에 90% 미만인 건축물만 건설할 수 있다.건설 가능한 건축물들은 제1종 근린 생활시설, 제2종 근린생활시설, 문화 및 집회시설, 종교시설, 판매시설, 운수시설, 의료시설, 업무시설, 숙박 시설(일반숙박시설 및 생활숙박시설 제외) 등이 건설 가능하고 건폐율은 80% 이하 용적률은 300% 이상 1천300% 이하이다. 건축 가능한 건축물의 종류는 국토의 계획 및 이용에 관한 법률 시행령 별표9 참조바람."
용어,임차권등기명령,"임차권등기명령
임대차기간이 만료되었음에도 불구하고 임차인이 보증금을 돌려받지 못하고 이사하게 되면, 종전에 취득하였던 대항력 및 우선변제권이 상실되므로 보증금을 돌려받기 어려워진다.이러한 문제를 미연에 방지하기 위해 임차권 등기를 하면 임차인에게 대항력 및 우선변제권이 유지되면서 자유롭게 이사할 수 있다. 임차권은 임차인이 필요한 서류를 구비하여 임차주택의 소재지를 관할하는 지방법원, 지방법원 지원 또는 시군법원에 임차권등기명령을 신청하여야 생기는 것으로, 임차인은 임차권 등기명령에 따라 임차권 등기를 마치면 대항력과 우선변제권을 취득한다. 임대차 등기 명령은 임대차가 종료된 후 보증금을 받지 못한 임차인만이 신청 할 수 있다.임차권 등기명령에 필요한 서류는 임대인의 소유로 등기된 주택 또는 건물에 대한 등기부 등본, 임대인의 소유가 아닌 주택 또는 건물은 즉시 임대인의 명의로 소유권보존등기를 할 수 있음을 증명하는 서류로 건축물 대장 같은 것, 임대차 계약 증서, 신청 당시 대항력을 취득한 임차인은 임차주택을 점유하기 시작한 날과 주민등록을 마친 날을 소명하는 서류, 신청당시 우선변제권을 취득한 임차인은 임차주택을 점유하기 시작한 날과 주민등록을 마친 날을 소명하는 서류 및 공정증서로 작성되거나 확정일자가 찍혀있는 임대차계약증서, 임대차 목적물에 관한 등기부상의 용도가 주거시설이 아닌 경우에는 임대차계약 체결 시부터 현재까지 주거용으로 사용하고 있음을 증명하는 서류 등이 있다."
용어,시행사,"시행사
통상 말하는 시행사란 어떤 부동산 개발사업의 실질적인 사업 운영자를 말한다. 아파트라면 그 아파트 사업의 실질적 운영자, 즉, 재건축 아파트라면 재건축 조합, 민간 사업자라면 그 사업장의 부동산 개발회사나 지주 등 현실적인 그 사업을 실행하는 장본인을 뜻한다. 시행사는 시공사(보통 건설회사)에게 도급건설을 주어 건축을 완성하며, 자금은 금융기관으로부터 조달하는 등의 역할을 한다.실정법상은 부동산개발업을 영위하기 위해 국토교통부장관에게 등록한 부동산개발업자를 말한다."
용어,법정상속인,"법정상속인
피상속인의 사망에 의하여 결격사유가 없는 한 민법의 규정에 의한 상속순위에 따라 당연히 상속하도록 규정한 자를 말한다. 재산상속의 순위는 피상속인의 직계비속, 피상속인의 직계존속, 피상속인의 형제자매, 피상속인의 4촌 이내의 방계혈족이며, 동순위의 상속인이 수인인 때에는 최근친이 선순위이고 동친 등의 상속인이 수인인 때에는 공동상속인이 된다. 근거법은 민법이다."
용어,배우자상속공제,"배우자상속공제
거주자의 사망으로 인하여 배우자가 실제 받은 상속금액을 상속세 과세가액에서 공제하는 것을 말한다. 배우자 상속공제 = (상속재산가액 -상속인이 아닌 수유자가 유증등을 받은 재산의 가액+상속개시일 전 10년 이내에 피상속인이 상속인에게 증여한 재산가액) X (배우자의 법정상속분)-상속재산에 가산한 증여재산 중 배우자가 사전 증여받은 재산에 대한 증여세 과세표준(30억원 초과시는 30억원 한도).상속재산가액과 상속세 과세가액은 다음과 같이 구한다.상속재산가액 = 상속자산총액-비과세 상속재산-공과금, 장례비용 및 채무-공익법인 등의 출연재산에 대한 상속세과세가액 불산입 재산-공익신탁재산에 대한 상속세과세가액 불산입 재산. 상속세 과세가액 = 상속재산가액-(공과금+장례비용+채무, 비거주자의 사망으로 인하여 상속이 개시되는 경우는 상속재산의 공과금+상속재산을 목적으로 하는 유치권, 질권, 전세권, 임차권, 양도담보권, 저당권 또는 담보채무+사업상 공과금 및 채무)+(상속개시일 전 10년 이내에 피상속인이 상속인에게 증여한 재산가액+상속개시일 전 5년 이내에 피상속인이 상속인이 아닌 자에게 증여한 재산가액).근거법은 상속세 및 증여세법과 동법 시행령이다."
용어,다중이용시설,"다중이용시설
다중이용시설이란 불특정 다수인이 사용하는 시설을 말한다. 실내 공기질 관리법에는 다음과 같은 시설로 정의 해 놓았다.① 모든 지하역사,② 연면적 2,000m2 이상인 지하도 상가,③ 여객자동차터미널의 연면적 2,000m2 이상인 대합실,④ 공항시설 중 연면적 1,500m2 이상인 여객터미널,⑤ 항만시설 중 연면적 5,000m2 이상인 대합실,⑥ 연면적 3,000m2 이상인 도서관, 박물관 및 미술관,⑦ 연면적 2,000m2 이상이거나 병상수 100개 이상인 의료기관,⑧ 연면적 2,000m2 이상인 실내주차장(기계식 주차장은 제외),⑨ 철도역사의 연면적 2,000m2 이상인 대합실,⑩ 연면적 430m2 이상인 국공립어린이집, 법인어린이집, 직장어린이집 및 민간어린이집,⑪ 대규모점포,⑫ 연면적 1천제곱미터 이상인 노인요양시설,⑬ 연면적 1,000m2 이상인 장례식장(지하에 위치한 시설만 해당),⑭ 목욕장업 중 영업시설의 연면적이 1,000m2 이상인 시설,⑮ 산후조리원업 중 영업시설의 연면적이 500m2 이상인 시설,⑯ 영화상영관(실내 영화상영관으로 한정),⑰ 학원 중 연면적 1천제곱미터 이상인 학원,⑱ 전시시설(옥내시설로 한정),⑲ 인터넷컴퓨터게임시설제공업 중 영업시설의 연면적이 300제곱미터 이상인 시설 등."
용어,채권자,"채권자
채무자에게 일정한 행위(급부)를 할 것을 청구할 수 있는 권리를 가진 사람을 말한다. 은행에 집을 담보로 잡히고 빚을 얻어 쓰면 빚을 준 은행이 채권자이고 빚을 얻은 사람이 채무자다.채무자가 빚을 약속한 기한 내에 빚을 갚지 않으면 채권자는 담보로 잡은 집을 처분하여 꾸어 준 돈을 회수하고 나머지는 채무자에게 돌려준다. 이때 채권자는 경매로 집을 처분한다."
용어,반대급부,"반대급부
쌍방계약에서 한쪽의 급부에 대하여, 대가적 교환관계의 입장에 서는 다른 한쪽의 급부를 말한다. 매매의 경우 매도인의 목적물의 인도에 대한 매수인의 대금지급이 매도인의 급부에 대한 반대급부가 된다. 쌍무계약에서 쌍방당사자의 채무가 서로 의존관계에 있으므로, 쌍무계약에서 채무자 상호간의 의존관계를 법률상 채무의 관련성이라 한다.반대급여 또는 반대의무라고도 한다. 급부라 함은 광의로는 청구권의 목적인 의무자의 행위를 가리키지만, 보통은 채권의 목적인 채무자의 행위를 가리킨다. 급부와 반대급부 사이에는 대가관계가 있고 동시이행의 항변권이 성립되며, 또 위험부담의 문제가 있다."
용어,제1종 전용주거지역,"제1종 전용주거지역
용도지역의 주거지역 중 전용주거지역의 하나로, 단독주택 중심의 양호한 주거환경을 보호하기 위해 국토교통부장관 · 시 · 도지사 또는 서울특별시 · 광역시 및 특별자치시를 제외한 인구 50만 이상 대도시의 시장이 지정하는 지역을 말한다. 건폐율은 50% 이하이며 용적률은 50% 이상 100% 이하이다.다가구주택을 제외한 단독주택과 제1종 근린생활시설 중 슈퍼마켓, 마을회관, 마을 공동작업소, 마을공동구판장 등으로 바닥면적의 합계가 1,000m2 이하인 시설물의 건축이 가능하며 2012년 1월 20일 이후에 건축법 시행령 별표 1에서 새로이 규정하는 건축물 등 일정한 요건을 충족하는 건축물의 종류 및 규모 등의 제한에 관하여는 해당 특별시 · 광역시 · 특별자치시 · 특별자치도시 · 시 또는 군의 조례로 정할 수 있다.주거지역은 전용주거지역, 일반주거지역, 준주거지역으로 구분되며 전용주거지역은 제1종 전용주거지역, 제2종 전용주거지역으로 구분된다.근거는 국토의 계획 및 이용에 관한 법률이다."
용어,환지,"환지
토지구획정리사업방식으로 도시개발사업을 할 때, 종전의 토지를 새 토지로 바꿔서 결정하는 일을 말한다.환지는 사업시행자가 토지를 매입 하지 않고, 목적에 맞게 변경하여 원 소유주에게 돌려주는 행위로, 도시개발사업 시행 전의 소유권 권리를 변경시키지 않고, 각 토지의 위치 · 면적 · 토지이용상황 및 환경 등을 고려하여 토지구획정리사업 시행 후 새로이 조성된 대지에 당해 소유권을 이전시킨다.환지처분 공고가 있으면 환지계획으로 정한 환지는 공고일 다음 날부터 종전의 토지로 간주된다. 사업기간 중에는 가환지로 지정했다가 사업이 끝나면서 환지하며, 가환지 상태에서 종전의 토지 사용수익권은 가환지로 이행되므로 권리에 받는 제약은 없다.환지는 될 수 있는 대로 '종전 토지 상호관계', '정하는 환지 상호간' 그리고 '종전의 토지와 환지의 관계'를 고려하여 결정한다.관련법은 도시개발법이다."
용어,등록면허세,"등록면허세
등록을 하는 자와 면허를 받는 자(변경면허를 받는 자를 포함한다)에게 부과하는 지방세(도세 및 구세)를 말한다. 등록이란 재산권과 그 밖의 권리의 설정 · 변경 또는 소멸에 관한 사항을 공부에 등기하거나 등록하는 것을 말한다. 이에는 광업권 및 어업권의 취득에 따른 등록과 외국인 소유의 취득세 과세대상 물건(차량, 기계장비, 항공기 및 선박만 해당한다)의 연부 취득에 따른 등기 또는 등록이 포함된다.다만, 취득세 대상인 취득을 원인으로 이루어지는 등기 또는 등록은 제외한다. 면허란 각종 법령에 규정된 면허 · 허가 · 인가 · 등록 · 지정 · 검사 · 검열 · 심사 등 특정한 영업설비 또는 행위에 대한 권리의 설정, 금지의 해제 또는 신고의 수리(受理) 등 행정청의 행위(법률의 규정에 따라 의제되는 행위를 포함한다)를 말한다. 등록세는 지방세로 법률 제528호 등록세법에 따라 과세하는 조세였으나, 1976년 12월 31일에 지방세법에 포함되었다.그 후 2010. 3. 31. 지방세법 전면개정시 등록세 중 취득과 관련된 과세대상을 취득세로 통합하고 등록세 중 저당권 · 전세권 등기 등 취득의 전제 없이 이루어지는 등기 · 등록과 면허 · 인가 · 허가 등에 과세되는 면허세를 등록면허세로 통합하였다. 부동산, 선박, 항공기, 자동차 및 건설기계의 등록에 대한 등록면허세의 과세표준은 등록 당시의 가액으로 한다.예외적으로 신고가액이 없거나 시가표준액 미달 시에는 시가표준액으로 한다. 세율은 부동산등기, 선박 등기 또는 등록, 차량의 등록, 기계장비등록, 공장재단 및 광업재단 등기, 법인등기 등 모두 각각의 세율이 있다. 근거법은 지방세법과 지방세 기본법이다."
용어,생산관리지역,"생산관리지역
국토는 용도에 따라 도시지역, 관리지역, 농림지역, 그리고 자연환경보전지역으로 구분하는데, 이중 관리지역은 다시 보전관리지역, 생산관리지역, 계획관리지역으로 구분한다. 생산관리 지역은 농업 · 임업 · 어업 생산 등을 위하여 관리가 필요하나, 주변 용도지역과의 관계 등을 고려할 때 농림 지역으로 지정하여 관리하기 곤란한 지역으로 국토교통부장관, 시 · 도지사 또는 대도시 시장이 도시 · 군관리계획으로 결정하는 지역을 말한다.건폐율은 20% 이하이며 용적률은 80% 이하이다. 4층 이하의 건축물로 단독주택, 초등학교, 운동장, 창고, 교정 및 국방 · 군사시설, 발전시설 등을 건축할 수 있으며, 토지의 형질변경 허가면적은 면적은 3만제곱미터 미만이며, 관리지역 안에서 3만제곱미터 미만의 형질변경은 당해 특별시 · 광역시 · 특별자치시 · 특별자치도 · 시 또는 군의 도시 · 군계획조례로 따로 정할 수 있다.근거는 국토의 계획 및 이용에 관한 법률이다."
용어,방화구획,"방화구획
주요구조부가 내화구조 또는 불연재료로 된 건축물로 연면적이 1천제곱미터 넘는 것은 내화구조로 된 바닥, 벽 및 갑종 방화문(자동방화셔터 포함)으로 구획하는 것을 말한다. 건물에 설치하는 방화구획은 다음 기준에 적합하게 설치해야 한다.① 10층 이하의 층은 바닥면적 1천제곱미터(스프링클러 그 밖에 이와 유사한 자동식 소화설비를 설치한 경우에는 바닥면적 3천제곱미터) 이내마다 구획할 것 ② 3층 이상의 층과 지하층은 매층마다 구획할 것. 다만 지하 1층에서 지상으로 직접 연결하는 경사로 부위는 제외한다. ③ 11층 이상의 층은 바닥면적 200제곱미터(스프링클러 그 밖에 이와 유사한 자동식 소화설비를 설치한 경우에는 바닥면적 6백제곱미터) 이내마다 구획할 것.다만 벽 및 반자의 실내에 접하는 부분의 마감을 불연재료로 한 경우에는 바닥면적 500제곱미터(스프링클러 그 밖에 이와 유사한 자동식 소화설비를 설치한 경우에는 바닥면적 1천5백제곱미터) 이내마다 구획해야 한다. 근거법규는 건축법 및 건축물의 피난 · 방화구조 등의 기준에 관한 규칙이다."
