구분,질문,답변
고척동/전세/보증금,고척동 전세 보증금 가장비싼 높은 고액,고척동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 59000만원에 거래된 고척파크푸르지오 아파트입니다.
응암동/전세/보증금,응암동 전세 보증금 가장비싼 높은 고액,응암동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 78000만원에 거래된 힐스테이트녹번역 아파트입니다.
서교동/전세/보증금,서교동 전세 보증금 가장비싼 높은 고액,서교동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 36000만원에 거래된 미래스위트하우스 연립다세대입니다.
가양동/전세/보증금,가양동 전세 보증금 가장비싼 높은 고액,가양동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 55000만원에 거래된 강서한강자이 아파트입니다.
잠실동/전세/보증금,잠실동 전세 보증금 가장비싼 높은 고액,잠실동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 190000만원에 거래된 리센츠 아파트입니다.
진관동/전세/보증금,진관동 전세 보증금 가장비싼 높은 고액,진관동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 100000만원에 거래된 폭포동4단지힐스테이트(408~422동)BL3-9 아파트입니다.
하왕십리동/전세/보증금,하왕십리동 전세 보증금 가장비싼 높은 고액,하왕십리동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 140000만원에 거래된 센트라스 아파트입니다.
이태원동/전세/보증금,이태원동 전세 보증금 가장비싼 높은 고액,이태원동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 78000만원에 거래된 청화1 아파트입니다.
내발산동/전세/보증금,내발산동 전세 보증금 가장비싼 높은 고액,내발산동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 73000만원에 거래된 우장산힐스테이트 아파트입니다.
도림동/전세/보증금,도림동 전세 보증금 가장비싼 높은 고액,도림동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 55000만원에 거래된 영등포아트자이 아파트입니다.
상암동/전세/보증금,상암동 전세 보증금 가장비싼 높은 고액,상암동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 65000만원에 거래된 상암월드컵파크4단지 아파트입니다.
독산동/전세/보증금,독산동 전세 보증금 가장비싼 높은 고액,독산동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 45000만원에 거래된 독산동중앙하이츠빌 아파트입니다.
상봉동/전세/보증금,상봉동 전세 보증금 가장비싼 높은 고액,상봉동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 46000만원에 거래된 건영2차아파트 아파트입니다.
양평동4가/전세/보증금,양평동4가 전세 보증금 가장비싼 높은 고액,양평동4가에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 43000만원에 거래된 삼호한숲 아파트입니다.
마곡동/전세/보증금,마곡동 전세 보증금 가장비싼 높은 고액,마곡동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 87000만원에 거래된 마곡엠밸리7단지 아파트입니다.
녹번동/전세/보증금,녹번동 전세 보증금 가장비싼 높은 고액,녹번동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 67000만원에 거래된 래미안베라힐즈 아파트입니다.
신도림동/전세/보증금,신도림동 전세 보증금 가장비싼 높은 고액,신도림동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 86000만원에 거래된 디큐브시티 아파트입니다.
양평동5가/전세/보증금,양평동5가 전세 보증금 가장비싼 높은 고액,양평동5가에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 60000만원에 거래된 양평한신 아파트입니다.
우면동/전세/보증금,우면동 전세 보증금 가장비싼 높은 고액,우면동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 94000만원에 거래된 서초호반써밋 아파트입니다.
개봉동/전세/보증금,개봉동 전세 보증금 가장비싼 높은 고액,개봉동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 60000만원에 거래된 개봉동현대아이파크 아파트입니다.
공릉동/전세/보증금,공릉동 전세 보증금 가장비싼 높은 고액,공릉동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 47000만원에 거래된 삼익아파트 아파트입니다.
성내동/전세/보증금,성내동 전세 보증금 가장비싼 높은 고액,성내동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 60000만원에 거래된 성내1차e-편한세상 아파트입니다.
목동/전세/보증금,목동 전세 보증금 가장비싼 높은 고액,목동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 120000만원에 거래된 목동가든스위트 아파트입니다.
불광동/전세/보증금,불광동 전세 보증금 가장비싼 높은 고액,불광동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 56000만원에 거래된 북한산힐스테이트1차아파트 아파트입니다.
영등포동7가/전세/보증금,영등포동7가 전세 보증금 가장비싼 높은 고액,영등포동7가에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 120000만원에 거래된 아크로타워스퀘어 아파트입니다.
사당동/전세/보증금,사당동 전세 보증금 가장비싼 높은 고액,사당동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 95000만원에 거래된 이수푸르지오더프레티움 아파트입니다.
내곡동/전세/보증금,내곡동 전세 보증금 가장비싼 높은 고액,내곡동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 65000만원에 거래된 서초포레스타2단지 아파트입니다.
신사동/전세/보증금,신사동 전세 보증금 가장비싼 높은 고액,신사동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 60000만원에 거래된 로데오현대 아파트입니다.
월계동/전세/보증금,월계동 전세 보증금 가장비싼 높은 고액,월계동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 65000만원에 거래된 꿈의숲SKVIEW 아파트입니다.
수유동/전세/보증금,수유동 전세 보증금 가장비싼 높은 고액,수유동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 40000만원에 거래된 시티팰리스 연립다세대입니다.
화곡동/전세/보증금,화곡동 전세 보증금 가장비싼 높은 고액,화곡동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 79000만원에 거래된 우장산숲아이파크 아파트입니다.
성산동/전세/보증금,성산동 전세 보증금 가장비싼 높은 고액,성산동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 52000만원에 거래된 월드컵아이파크(667) 아파트입니다.
하계동/전세/보증금,하계동 전세 보증금 가장비싼 높은 고액,하계동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 65000만원에 거래된 학여울청구 아파트입니다.
도화동/전세/보증금,도화동 전세 보증금 가장비싼 높은 고액,도화동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 80000만원에 거래된 삼성 아파트입니다.
아현동/전세/보증금,아현동 전세 보증금 가장비싼 높은 고액,아현동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 131850만원에 거래된 마포래미안푸르지오3단지 아파트입니다.
길음동/전세/보증금,길음동 전세 보증금 가장비싼 높은 고액,길음동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 130000만원에 거래된 래미안길음센터피스 아파트입니다.
이문동/전세/보증금,이문동 전세 보증금 가장비싼 높은 고액,이문동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 50000만원에 거래된 쌍용 아파트입니다.
중림동/전세/보증금,중림동 전세 보증금 가장비싼 높은 고액,중림동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 45000만원에 거래된 쌍용 더 플래티넘 서울역 오피스텔입니다.
북아현동/전세/보증금,북아현동 전세 보증금 가장비싼 높은 고액,북아현동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 90000만원에 거래된 e편한세상신촌1단지 아파트입니다.
구로동/전세/보증금,구로동 전세 보증금 가장비싼 높은 고액,구로동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 50000만원에 거래된 신도림태영타운 아파트입니다.
신원동/전세/보증금,신원동 전세 보증금 가장비싼 높은 고액,신원동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 74550만원에 거래된 힐스테이트 서초 젠트리스 아파트입니다.
묵동/전세/보증금,묵동 전세 보증금 가장비싼 높은 고액,묵동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 70000만원에 거래된 이편한세상화랑대 아파트입니다.
미아동/전세/보증금,미아동 전세 보증금 가장비싼 높은 고액,미아동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 52000만원에 거래된 꿈의숲롯데캐슬 아파트입니다.
염창동/전세/보증금,염창동 전세 보증금 가장비싼 높은 고액,염창동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 75000만원에 거래된 염창1차보람더하임 아파트입니다.
정동/전세/보증금,정동 전세 보증금 가장비싼 높은 고액,정동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 31500만원에 거래된 삼정아트테라스정동 아파트입니다.
신월동/전세/보증금,신월동 전세 보증금 가장비싼 높은 고액,신월동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 62000만원에 거래된 목동센트럴아이파크위브3단지 아파트입니다.
장지동/전세/보증금,장지동 전세 보증금 가장비싼 높은 고액,장지동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 85000만원에 거래된 위례2차아이파크 아파트입니다.
수서동/전세/보증금,수서동 전세 보증금 가장비싼 높은 고액,수서동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 150000만원에 거래된 강남 더샵 포레스트 아파트입니다.
창신동/전세/보증금,창신동 전세 보증금 가장비싼 높은 고액,창신동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 50000만원에 거래된 브라운스톤창신 아파트입니다.
역삼동/전세/보증금,역삼동 전세 보증금 가장비싼 높은 고액,역삼동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 130000만원에 거래된 래미안그레이튼(진달래2차) 아파트입니다.
방학동/전세/보증금,방학동 전세 보증금 가장비싼 높은 고액,방학동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 43000만원에 거래된 방학동삼성래미안2 아파트입니다.
방화동/전세/보증금,방화동 전세 보증금 가장비싼 높은 고액,방화동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 61000만원에 거래된 마곡푸르지오 아파트입니다.
중화동/전세/보증금,중화동 전세 보증금 가장비싼 높은 고액,중화동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 45000만원에 거래된 한신아파트(103~109) 아파트입니다.
구의동/전세/보증금,구의동 전세 보증금 가장비싼 높은 고액,구의동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 69000만원에 거래된 구의현대2단지 아파트입니다.
증산동/전세/보증금,증산동 전세 보증금 가장비싼 높은 고액,증산동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 44000만원에 거래된 DMC우방 아파트입니다.
송정동/전세/보증금,송정동 전세 보증금 가장비싼 높은 고액,송정동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 55000만원에 거래된 건영 아파트입니다.
서초동/전세/보증금,서초동 전세 보증금 가장비싼 높은 고액,서초동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 160000만원에 거래된 삼풍아파트 아파트입니다.
여의도동/전세/보증금,여의도동 전세 보증금 가장비싼 높은 고액,여의도동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 180000만원에 거래된 대우트럼프월드II 아파트입니다.
장위동/전세/보증금,장위동 전세 보증금 가장비싼 높은 고액,장위동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 65000만원에 거래된 꿈의숲아이파크 아파트입니다.
양평동6가/전세/보증금,양평동6가 전세 보증금 가장비싼 높은 고액,"양평동6가에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 22000만원에 거래된 아트리버빌D동,E동 연립다세대입니다."
신정동/전세/보증금,신정동 전세 보증금 가장비싼 높은 고액,신정동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 120000만원에 거래된 아이파크 아파트입니다.
길동/전세/보증금,길동 전세 보증금 가장비싼 높은 고액,길동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 57000만원에 거래된 현대1 아파트입니다.
정릉동/전세/보증금,정릉동 전세 보증금 가장비싼 높은 고액,정릉동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 47000만원에 거래된 정릉힐스테이트3차 아파트입니다.
노고산동/전세/보증금,노고산동 전세 보증금 가장비싼 높은 고액,노고산동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 28000만원에 거래된 하비메종 연립다세대입니다.
신내동/전세/보증금,신내동 전세 보증금 가장비싼 높은 고액,신내동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 47000만원에 거래된 신내우디안1단지 아파트입니다.
양평동1가/전세/보증금,양평동1가 전세 보증금 가장비싼 높은 고액,양평동1가에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 29100만원에 거래된 우성하임 오피스텔입니다.
고덕동/전세/보증금,고덕동 전세 보증금 가장비싼 높은 고액,고덕동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 120000만원에 거래된 고덕 아이파크 아파트입니다.
잠원동/전세/보증금,잠원동 전세 보증금 가장비싼 높은 고액,잠원동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 165000만원에 거래된 래미안신반포팰리스 아파트입니다.
일원동/전세/보증금,일원동 전세 보증금 가장비싼 높은 고액,일원동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 140000만원에 거래된 디에이치자이개포 아파트입니다.
마천동/전세/보증금,마천동 전세 보증금 가장비싼 높은 고액,마천동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 64000만원에 거래된 이레재하우스 연립다세대입니다.
신림동/전세/보증금,신림동 전세 보증금 가장비싼 높은 고액,신림동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 65000만원에 거래된 신림푸르지오 아파트입니다.
암사동/전세/보증금,암사동 전세 보증금 가장비싼 높은 고액,암사동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 90000만원에 거래된 힐스테이트 강동 리버뷰 아파트입니다.
원효로1가/전세/보증금,원효로1가 전세 보증금 가장비싼 높은 고액,원효로1가에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 103000만원에 거래된 용산더프라임 아파트입니다.
오류동/전세/보증금,오류동 전세 보증금 가장비싼 높은 고액,오류동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 44000만원에 거래된 경남아너스빌 아파트입니다.
봉천동/전세/보증금,봉천동 전세 보증금 가장비싼 높은 고액,봉천동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 75000만원에 거래된 e편한세상서울대입구1단지 아파트입니다.
둔촌동/전세/보증금,둔촌동 전세 보증금 가장비싼 높은 고액,둔촌동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 68000만원에 거래된 둔촌푸르지오 아파트입니다.
신창동/전세/보증금,신창동 전세 보증금 가장비싼 높은 고액,신창동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 55000만원에 거래된 세방리버하이빌 아파트입니다.
자양동/전세/보증금,자양동 전세 보증금 가장비싼 높은 고액,자양동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 152000만원에 거래된 광진트라팰리스 아파트입니다.
쌍문동/전세/보증금,쌍문동 전세 보증금 가장비싼 높은 고액,쌍문동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 44500만원에 거래된 쌍문동삼성래미안 아파트입니다.
번동/전세/보증금,번동 전세 보증금 가장비싼 높은 고액,번동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 45010만원에 거래된 기산그린 아파트입니다.
홍은동/전세/보증금,홍은동 전세 보증금 가장비싼 높은 고액,홍은동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 81000만원에 거래된 북한산더샵 아파트입니다.
중계동/전세/보증금,중계동 전세 보증금 가장비싼 높은 고액,중계동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 80000만원에 거래된 건영3 아파트입니다.
행당동/전세/보증금,행당동 전세 보증금 가장비싼 높은 고액,행당동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 80000만원에 거래된 대림e-편한세상 아파트입니다.
신천동/전세/보증금,신천동 전세 보증금 가장비싼 높은 고액,신천동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 110000만원에 거래된 파크리오 아파트입니다.
용답동/전세/보증금,용답동 전세 보증금 가장비싼 높은 고액,용답동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 25000만원에 거래된 LKPLACE1차 연립다세대입니다.
장안동/전세/보증금,장안동 전세 보증금 가장비싼 높은 고액,장안동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 60000만원에 거래된 동대문더퍼스트데시앙 아파트입니다.
풍납동/전세/보증금,풍납동 전세 보증금 가장비싼 높은 고액,풍납동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 95000만원에 거래된 잠실올림픽공원아이파크 아파트입니다.
등촌동/전세/보증금,등촌동 전세 보증금 가장비싼 높은 고액,등촌동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 65000만원에 거래된 등촌동아이파크 아파트입니다.
흑석동/전세/보증금,흑석동 전세 보증금 가장비싼 높은 고액,흑석동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 120000만원에 거래된 아크로리버하임 아파트입니다.
답십리동/전세/보증금,답십리동 전세 보증금 가장비싼 높은 고액,답십리동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 65000만원에 거래된 래미안미드카운티 아파트입니다.
천호동/전세/보증금,천호동 전세 보증금 가장비싼 높은 고액,천호동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 85000만원에 거래된 강동역신동아파밀리에 아파트입니다.
이촌동/전세/보증금,이촌동 전세 보증금 가장비싼 높은 고액,이촌동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 245000만원에 거래된 래미안첼리투스 아파트입니다.
신길동/전세/보증금,신길동 전세 보증금 가장비싼 높은 고액,신길동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 70000만원에 거래된 래미안에스티움 아파트입니다.
면목동/전세/보증금,면목동 전세 보증금 가장비싼 높은 고액,면목동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 65000만원에 거래된 사가정센트럴아이파크 아파트입니다.
천왕동/전세/보증금,천왕동 전세 보증금 가장비싼 높은 고액,천왕동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 42320만원에 거래된 천왕연지타운2단지 아파트입니다.
공항동/전세/보증금,공항동 전세 보증금 가장비싼 높은 고액,공항동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 53000만원에 거래된 공항동부센트레빌 아파트입니다.
구산동/전세/보증금,구산동 전세 보증금 가장비싼 높은 고액,구산동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 47000만원에 거래된 브라운스톤구산 아파트입니다.
돈암동/전세/보증금,돈암동 전세 보증금 가장비싼 높은 고액,돈암동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 75000만원에 거래된 돈암코오롱하늘채 아파트입니다.
청량리동/전세/보증금,청량리동 전세 보증금 가장비싼 높은 고액,청량리동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 52000만원에 거래된 홍릉동부 아파트입니다.
창동/전세/보증금,창동 전세 보증금 가장비싼 높은 고액,창동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 48000만원에 거래된 태영데시앙 아파트입니다.
상왕십리동/전세/보증금,상왕십리동 전세 보증금 가장비싼 높은 고액,상왕십리동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 110000만원에 거래된 텐즈힐(2구역) 아파트입니다.
창전동/전세/보증금,창전동 전세 보증금 가장비싼 높은 고액,창전동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 75000만원에 거래된 서강예가 아파트입니다.
상일동/전세/보증금,상일동 전세 보증금 가장비싼 높은 고액,상일동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 80000만원에 거래된 고덕아르테온 아파트입니다.
숭인동/전세/보증금,숭인동 전세 보증금 가장비싼 높은 고액,숭인동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 73000만원에 거래된 종로센트레빌 아파트입니다.
강일동/전세/보증금,강일동 전세 보증금 가장비싼 높은 고액,강일동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 60000만원에 거래된 강일리버파크7단지 아파트입니다.
개포동/전세/보증금,개포동 전세 보증금 가장비싼 높은 고액,개포동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 225700만원에 거래된 디에이치아너힐즈 아파트입니다.
가산동/전세/보증금,가산동 전세 보증금 가장비싼 높은 고액,가산동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 23000만원에 거래된 G밸리 노블루체 스위트 오피스텔입니다.
신공덕동/전세/보증금,신공덕동 전세 보증금 가장비싼 높은 고액,신공덕동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 133000만원에 거래된 펜트라우스 아파트입니다.
역촌동/전세/보증금,역촌동 전세 보증금 가장비싼 높은 고액,역촌동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 59100만원에 거래된 리더스파크 아파트입니다.
노량진동/전세/보증금,노량진동 전세 보증금 가장비싼 높은 고액,노량진동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 60000만원에 거래된 신동아리버파크 아파트입니다.
문래동2가/전세/보증금,문래동2가 전세 보증금 가장비싼 높은 고액,문래동2가에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 29950만원에 거래된 남성 아파트입니다.
