구분,질문,답변
응암동/전세/보증금,응암동 전세 보증금 가장싼 낮은 저렴,응암동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 11700만원에 거래된 지우빌 연립다세대입니다.
서교동/전세/보증금,서교동 전세 보증금 가장싼 낮은 저렴,서교동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 14000만원에 거래된 AHOUSE 연립다세대입니다.
가양동/전세/보증금,가양동 전세 보증금 가장싼 낮은 저렴,가양동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 3630만원에 거래된 가양도시개발공사8단지(임대) 아파트입니다.
잠실동/전세/보증금,잠실동 전세 보증금 가장싼 낮은 저렴,잠실동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 18400만원에 거래된 잠실 M타워 오피스텔입니다.
진관동/전세/보증금,진관동 전세 보증금 가장싼 낮은 저렴,진관동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 12000만원에 거래된 웅신 미켈란의 아침 오피스텔입니다.
하왕십리동/전세/보증금,하왕십리동 전세 보증금 가장싼 낮은 저렴,하왕십리동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 30000만원에 거래된 센트라스 오피스텔입니다.
이태원동/전세/보증금,이태원동 전세 보증금 가장싼 낮은 저렴,이태원동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 8000만원에 거래된 (227-23) 연립다세대입니다.
내발산동/전세/보증금,내발산동 전세 보증금 가장싼 낮은 저렴,내발산동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 11650만원에 거래된 마곡수명산파크2단지 아파트입니다.
도림동/전세/보증금,도림동 전세 보증금 가장싼 낮은 저렴,도림동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 23000만원에 거래된 투게더비 연립다세대입니다.
상암동/전세/보증금,상암동 전세 보증금 가장싼 낮은 저렴,상암동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 6236만원에 거래된 상암월드컵파크1단지 아파트입니다.
독산동/전세/보증금,독산동 전세 보증금 가장싼 낮은 저렴,"독산동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 9000만원에 거래된 삼우연립A,B동 연립다세대입니다."
상봉동/전세/보증금,상봉동 전세 보증금 가장싼 낮은 저렴,상봉동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 8925만원에 거래된 포시티 아파트입니다.
양평동4가/전세/보증금,양평동4가 전세 보증금 가장싼 낮은 저렴,양평동4가에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 22000만원에 거래된 프라임빌 연립다세대입니다.
마곡동/전세/보증금,마곡동 전세 보증금 가장싼 낮은 저렴,마곡동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 11700만원에 거래된 마곡오드카운티1차 오피스텔입니다.
녹번동/전세/보증금,녹번동 전세 보증금 가장싼 낮은 저렴,녹번동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 5945만원에 거래된 북한산푸르지오 아파트입니다.
신도림동/전세/보증금,신도림동 전세 보증금 가장싼 낮은 저렴,신도림동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 10000만원에 거래된 전원연립 연립다세대입니다.
양평동5가/전세/보증금,양평동5가 전세 보증금 가장싼 낮은 저렴,양평동5가에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 24670만원에 거래된 위너스하임 연립다세대입니다.
우면동/전세/보증금,우면동 전세 보증금 가장싼 낮은 저렴,우면동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 15093만원에 거래된 서초네이처힐6단지 아파트입니다.
개봉동/전세/보증금,개봉동 전세 보증금 가장싼 낮은 저렴,개봉동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 10000만원에 거래된 대동하이빌A동 연립다세대입니다.
공릉동/전세/보증금,공릉동 전세 보증금 가장싼 낮은 저렴,공릉동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 11000만원에 거래된 제너럴나인 연립다세대입니다.
성내동/전세/보증금,성내동 전세 보증금 가장싼 낮은 저렴,성내동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 9100만원에 거래된 (405-35) 연립다세대입니다.
목동/전세/보증금,목동 전세 보증금 가장싼 낮은 저렴,목동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 10000만원에 거래된 (545-33) 연립다세대입니다.
불광동/전세/보증금,불광동 전세 보증금 가장싼 낮은 저렴,불광동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 6000만원에 거래된 (391-255) 연립다세대입니다.
영등포동7가/전세/보증금,영등포동7가 전세 보증금 가장싼 낮은 저렴,영등포동7가에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 13300만원에 거래된 청호오피스텔 오피스텔입니다.
사당동/전세/보증금,사당동 전세 보증금 가장싼 낮은 저렴,사당동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 13500만원에 거래된 (230-29) 연립다세대입니다.
내곡동/전세/보증금,내곡동 전세 보증금 가장싼 낮은 저렴,내곡동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 29400만원에 거래된 서초포레스타2단지 아파트입니다.
신사동/전세/보증금,신사동 전세 보증금 가장싼 낮은 저렴,신사동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 11500만원에 거래된 지산빌라(15-60) 연립다세대입니다.
월계동/전세/보증금,월계동 전세 보증금 가장싼 낮은 저렴,월계동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 12000만원에 거래된 한성빌라 연립다세대입니다.
수유동/전세/보증금,수유동 전세 보증금 가장싼 낮은 저렴,수유동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 4000만원에 거래된 명가빌라 연립다세대입니다.
화곡동/전세/보증금,화곡동 전세 보증금 가장싼 낮은 저렴,화곡동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 5000만원에 거래된 그린오피스텔 오피스텔입니다.
성산동/전세/보증금,성산동 전세 보증금 가장싼 낮은 저렴,성산동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 8000만원에 거래된 샬롬 오피스텔 오피스텔입니다.
하계동/전세/보증금,하계동 전세 보증금 가장싼 낮은 저렴,하계동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 3156만원에 거래된 학여울청구117동(355) 아파트입니다.
도화동/전세/보증금,도화동 전세 보증금 가장싼 낮은 저렴,도화동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 20000만원에 거래된 나눔빌딩 오피스텔입니다.
아현동/전세/보증금,아현동 전세 보증금 가장싼 낮은 저렴,아현동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 7535만원에 거래된 공덕자이(임대) 아파트입니다.
길음동/전세/보증금,길음동 전세 보증금 가장싼 낮은 저렴,길음동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 20925만원에 거래된 래미안길음센터피스 아파트입니다.
이문동/전세/보증금,이문동 전세 보증금 가장싼 낮은 저렴,이문동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 14000만원에 거래된 세진빌딩 오피스텔입니다.
중림동/전세/보증금,중림동 전세 보증금 가장싼 낮은 저렴,중림동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 4735만원에 거래된 삼성사이버빌리지(임대) 아파트입니다.
북아현동/전세/보증금,북아현동 전세 보증금 가장싼 낮은 저렴,북아현동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 18000만원에 거래된 (1-86) 연립다세대입니다.
구로동/전세/보증금,구로동 전세 보증금 가장싼 낮은 저렴,구로동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 7300만원에 거래된 오피스텔 미래지오 오피스텔입니다.
신원동/전세/보증금,신원동 전세 보증금 가장싼 낮은 저렴,신원동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 16700만원에 거래된 자연누리 오피스텔 오피스텔입니다.
묵동/전세/보증금,묵동 전세 보증금 가장싼 낮은 저렴,묵동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 12500만원에 거래된 묵동포레시타 아파트입니다.
미아동/전세/보증금,미아동 전세 보증금 가장싼 낮은 저렴,미아동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 8925만원에 거래된 미아동태현주택 연립다세대입니다.
염창동/전세/보증금,염창동 전세 보증금 가장싼 낮은 저렴,염창동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 22000만원에 거래된 한빛어반뉴스토리 오피스텔입니다.
정동/전세/보증금,정동 전세 보증금 가장싼 낮은 저렴,정동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 20000만원에 거래된 삼정아트테라스정동 아파트입니다.
신월동/전세/보증금,신월동 전세 보증금 가장싼 낮은 저렴,신월동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 7870만원에 거래된 대혁빌라 연립다세대입니다.
장지동/전세/보증금,장지동 전세 보증금 가장싼 낮은 저렴,장지동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 9571만원에 거래된 송파파인타운10단지 아파트입니다.
수서동/전세/보증금,수서동 전세 보증금 가장싼 낮은 저렴,수서동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 19875만원에 거래된 하니움 아파트입니다.
창신동/전세/보증금,창신동 전세 보증금 가장싼 낮은 저렴,창신동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 9500만원에 거래된 동대문 아파트입니다.
역삼동/전세/보증금,역삼동 전세 보증금 가장싼 낮은 저렴,역삼동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 13000만원에 거래된 토경아트빌(687-13) 연립다세대입니다.
방학동/전세/보증금,방학동 전세 보증금 가장싼 낮은 저렴,방학동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 6900만원에 거래된 명성빌라6차 연립다세대입니다.
방화동/전세/보증금,방화동 전세 보증금 가장싼 낮은 저렴,방화동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 15000만원에 거래된 한미(286-1) 아파트입니다.
중화동/전세/보증금,중화동 전세 보증금 가장싼 낮은 저렴,중화동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 10000만원에 거래된 엠케이하우징 연립다세대입니다.
구의동/전세/보증금,구의동 전세 보증금 가장싼 낮은 저렴,구의동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 9900만원에 거래된 스위트빌(71-1) 아파트입니다.
증산동/전세/보증금,증산동 전세 보증금 가장싼 낮은 저렴,증산동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 18000만원에 거래된 삼환빌리지 연립다세대입니다.
송정동/전세/보증금,송정동 전세 보증금 가장싼 낮은 저렴,송정동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 12000만원에 거래된 더라움 연립다세대입니다.
서초동/전세/보증금,서초동 전세 보증금 가장싼 낮은 저렴,서초동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 16000만원에 거래된 (1507-11) 연립다세대입니다.
여의도동/전세/보증금,여의도동 전세 보증금 가장싼 낮은 저렴,여의도동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 17000만원에 거래된 KCC파크타운 오피스텔입니다.
장위동/전세/보증금,장위동 전세 보증금 가장싼 낮은 저렴,장위동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 8000만원에 거래된 대륙빌라 연립다세대입니다.
양평동6가/전세/보증금,양평동6가 전세 보증금 가장싼 낮은 저렴,양평동6가에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 14333만원에 거래된 아트리버빌A동 연립다세대입니다.
신정동/전세/보증금,신정동 전세 보증금 가장싼 낮은 저렴,신정동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 4962만원에 거래된 푸른마을1단지 아파트입니다.
길동/전세/보증금,길동 전세 보증금 가장싼 낮은 저렴,길동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 10700만원에 거래된 청광플러스원큐브3차 아파트입니다.
정릉동/전세/보증금,정릉동 전세 보증금 가장싼 낮은 저렴,정릉동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 13000만원에 거래된 황금빌라 연립다세대입니다.
노고산동/전세/보증금,노고산동 전세 보증금 가장싼 낮은 저렴,노고산동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 13000만원에 거래된 신촌르·메이에르타운(Ⅱ) 오피스텔입니다.
신내동/전세/보증금,신내동 전세 보증금 가장싼 낮은 저렴,신내동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 13000만원에 거래된 신일빌라 연립다세대입니다.
양평동1가/전세/보증금,양평동1가 전세 보증금 가장싼 낮은 저렴,양평동1가에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 28500만원에 거래된 엠제이파크 오피스텔입니다.
고덕동/전세/보증금,고덕동 전세 보증금 가장싼 낮은 저렴,고덕동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 13000만원에 거래된 아리해피하우스 연립다세대입니다.
잠원동/전세/보증금,잠원동 전세 보증금 가장싼 낮은 저렴,잠원동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 32000만원에 거래된 서전빌라B 연립다세대입니다.
일원동/전세/보증금,일원동 전세 보증금 가장싼 낮은 저렴,일원동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 10500만원에 거래된 다세대주택(6세대) 연립다세대입니다.
마천동/전세/보증금,마천동 전세 보증금 가장싼 낮은 저렴,마천동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 6000만원에 거래된 (355-19) 연립다세대입니다.
신림동/전세/보증금,신림동 전세 보증금 가장싼 낮은 저렴,신림동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 3717만원에 거래된 주공1 아파트입니다.
암사동/전세/보증금,암사동 전세 보증금 가장싼 낮은 저렴,암사동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 9900만원에 거래된 아이리스빌 연립다세대입니다.
원효로1가/전세/보증금,원효로1가 전세 보증금 가장싼 낮은 저렴,원효로1가에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 21380만원에 거래된 원효밸류 연립다세대입니다.
오류동/전세/보증금,오류동 전세 보증금 가장싼 낮은 저렴,오류동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 8500만원에 거래된 우남산장(156-86) 연립다세대입니다.
봉천동/전세/보증금,봉천동 전세 보증금 가장싼 낮은 저렴,봉천동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 3521만원에 거래된 신봉 아파트입니다.
둔촌동/전세/보증금,둔촌동 전세 보증금 가장싼 낮은 저렴,둔촌동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 11000만원에 거래된 선영하우스 연립다세대입니다.
신창동/전세/보증금,신창동 전세 보증금 가장싼 낮은 저렴,신창동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 12000만원에 거래된 엠버28차 연립다세대입니다.
자양동/전세/보증금,자양동 전세 보증금 가장싼 낮은 저렴,자양동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 18500만원에 거래된 자양스테이 연립다세대입니다.
쌍문동/전세/보증금,쌍문동 전세 보증금 가장싼 낮은 저렴,쌍문동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 10000만원에 거래된 경모하늘풍경 연립다세대입니다.
번동/전세/보증금,번동 전세 보증금 가장싼 낮은 저렴,번동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 10000만원에 거래된 광신주택(148-266) 연립다세대입니다.
홍은동/전세/보증금,홍은동 전세 보증금 가장싼 낮은 저렴,홍은동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 6000만원에 거래된 (8-694) 연립다세대입니다.
중계동/전세/보증금,중계동 전세 보증금 가장싼 낮은 저렴,중계동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 12000만원에 거래된 원강 연립다세대입니다.
행당동/전세/보증금,행당동 전세 보증금 가장싼 낮은 저렴,행당동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 3871만원에 거래된 행당한진타운(임대) 아파트입니다.
신천동/전세/보증금,신천동 전세 보증금 가장싼 낮은 저렴,신천동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 30000만원에 거래된 한신코아 아파트입니다.
용답동/전세/보증금,용답동 전세 보증금 가장싼 낮은 저렴,용답동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 15700만원에 거래된 더반스빌3 연립다세대입니다.
장안동/전세/보증금,장안동 전세 보증금 가장싼 낮은 저렴,장안동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 11000만원에 거래된 화성(93-116) 연립다세대입니다.
풍납동/전세/보증금,풍납동 전세 보증금 가장싼 낮은 저렴,풍납동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 16000만원에 거래된 우리빌라 연립다세대입니다.
등촌동/전세/보증금,등촌동 전세 보증금 가장싼 낮은 저렴,등촌동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 12500만원에 거래된 연안하이츠빌라 연립다세대입니다.
흑석동/전세/보증금,흑석동 전세 보증금 가장싼 낮은 저렴,흑석동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 50000만원에 거래된 우리유앤미 아파트입니다.
답십리동/전세/보증금,답십리동 전세 보증금 가장싼 낮은 저렴,답십리동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 9200만원에 거래된 센시티16 아파트입니다.
천호동/전세/보증금,천호동 전세 보증금 가장싼 낮은 저렴,천호동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 12500만원에 거래된 아미띠에빌 연립다세대입니다.
이촌동/전세/보증금,이촌동 전세 보증금 가장싼 낮은 저렴,이촌동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 20000만원에 거래된 강서 아파트입니다.
신길동/전세/보증금,신길동 전세 보증금 가장싼 낮은 저렴,신길동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 13000만원에 거래된 리치빌 연립다세대입니다.
면목동/전세/보증금,면목동 전세 보증금 가장싼 낮은 저렴,면목동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 10000만원에 거래된 금성연립(라) 연립다세대입니다.
천왕동/전세/보증금,천왕동 전세 보증금 가장싼 낮은 저렴,천왕동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 10116만원에 거래된 천왕이펜하우스4단지 아파트입니다.
공항동/전세/보증금,공항동 전세 보증금 가장싼 낮은 저렴,공항동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 11500만원에 거래된 평화4차(55-243) 연립다세대입니다.
구산동/전세/보증금,구산동 전세 보증금 가장싼 낮은 저렴,구산동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 14500만원에 거래된 성진빌라(B) 연립다세대입니다.
돈암동/전세/보증금,돈암동 전세 보증금 가장싼 낮은 저렴,돈암동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 1685만원에 거래된 한진임대아파트(301동)(609-1) 아파트입니다.
청량리동/전세/보증금,청량리동 전세 보증금 가장싼 낮은 저렴,청량리동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 24000만원에 거래된 힐스테이트 청량리역 오피스텔입니다.
창동/전세/보증금,창동 전세 보증금 가장싼 낮은 저렴,창동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 9000만원에 거래된 한신빌리지12동 연립다세대입니다.
상왕십리동/전세/보증금,상왕십리동 전세 보증금 가장싼 낮은 저렴,상왕십리동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 79000만원에 거래된 텐즈힐(2구역) 아파트입니다.
창전동/전세/보증금,창전동 전세 보증금 가장싼 낮은 저렴,창전동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 28000만원에 거래된 어반하우스2(URBANHouse2) 연립다세대입니다.
상일동/전세/보증금,상일동 전세 보증금 가장싼 낮은 저렴,상일동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 15000만원에 거래된 (270-5) 연립다세대입니다.
숭인동/전세/보증금,숭인동 전세 보증금 가장싼 낮은 저렴,숭인동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 11000만원에 거래된 삼전솔하임2차 아파트입니다.
강일동/전세/보증금,강일동 전세 보증금 가장싼 낮은 저렴,강일동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 8752만원에 거래된 강일리버파크5단지 아파트입니다.
개포동/전세/보증금,개포동 전세 보증금 가장싼 낮은 저렴,개포동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 16300만원에 거래된 녹경빌리지B동 연립다세대입니다.
가산동/전세/보증금,가산동 전세 보증금 가장싼 낮은 저렴,가산동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 9400만원에 거래된 비즈트위트 바이올렛 5차 오피스텔입니다.
신공덕동/전세/보증금,신공덕동 전세 보증금 가장싼 낮은 저렴,신공덕동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 15750만원에 거래된 블루마리오피스텔 오피스텔입니다.
역촌동/전세/보증금,역촌동 전세 보증금 가장싼 낮은 저렴,역촌동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 12600만원에 거래된 신도가든빌라 연립다세대입니다.
노량진동/전세/보증금,노량진동 전세 보증금 가장싼 낮은 저렴,노량진동에서 보증금이 가장싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 15400만원에 거래된 동남빌라 연립다세대입니다.
